date,open,high,low,close,volume,vwap,macd_line,macd_signal_line,macd_histogram,evwma_short,evwma_long,evwma_oscillator,evwma_signal,evwma_histogram
2024-06-24,1.809999942779541,1.8600000143051147,1.75,1.7999999523162842,923300,1.803333322207133,0.0,0.0,0.0,1.7999999523162842,1.7999999523162842,0.0,0.0,0.0
2024-06-25,1.7699999809265137,1.850000023841858,1.7400000095367432,1.8200000524520876,1060200,1.8033333434466405,0.0015954495834828997,0.00031908991669657997,0.0012763596667863196,1.8005235104931725,1.800176653200984,0.00034685729218852934,6.937145843770587e-05,0.0002774858337508235
2024-06-26,1.8200000524520876,1.8799999952316284,1.7899999618530271,1.830000042915344,1416600,1.8158323833788452,0.003624983971218132,0.0009802687276008904,0.0026447152436172416,1.8015545340938945,1.8005287183165621,0.0010258157773324061,0.00026066032221664596,0.0007651554551157602
2024-06-27,1.840000033378601,1.9299999475479128,1.809999942779541,1.899999976158142,2389100,1.8423132005112952,0.01075780491577838,0.0029357759652363885,0.00782202895054199,1.8073618428750229,1.8025091081674731,0.004852734707549766,0.0011790751992832701,0.003673659508266496
2024-06-28,1.909999966621399,1.9299999475479128,1.8040000200271609,1.919999957084656,1677400,1.8518280616266307,0.01781904140020396,0.005912429052229903,0.011906612347974058,1.8120270076349054,1.804151434417254,0.007875573217651421,0.0025183748029569005,0.0053571984146945206
2024-07-01,1.8799999952316284,1.9299999475479128,1.8200000524520876,1.840000033378601,1157700,1.8533724960660232,0.016766522892644575,0.008083247820312838,0.008683275072331737,1.812826621755979,1.8044972837757336,0.008329337980245377,0.0036805674384145963,0.004648770541830781
2024-07-02,1.840000033378601,1.9600000381469729,1.809999942779541,1.9600000381469729,1123000,1.859896630345023,0.025323478597387927,0.011531293975727858,0.01379218462166007,1.8169075043882528,1.8059525303853912,0.010954974002861606,0.005135448751303999,0.005819525251557607
2024-07-03,1.950000047683716,2.0299999713897705,1.934999942779541,1.950000047683716,1443400,1.874312962841907,0.03094133948469202,0.015413303077520691,0.01552803640717133,1.8216508569065903,1.8076851819392945,0.013965674967295838,0.0069014939945023675,0.0070641809727934705
2024-07-05,1.950000047683716,2.049999952316284,1.8899999856948853,2.009999990463257,1295200,1.8856219716422755,0.0397765098091849,0.020285944423853536,0.019490565385331365,1.8276743087036915,1.8098688331059631,0.017805475597728382,0.009082290315147571,0.00872318528258081
2024-07-08,2.0199999809265137,2.0450000762939453,1.840000033378601,1.909999966621399,1244300,1.889794776529534,0.038268148363107324,0.023882385211704292,0.014385763151403032,1.8302036374974449,1.810907109517907,0.019296527979537847,0.011125137848025627,0.00817139013151222
