date,close,high,low,open,volume
2024-03-13,1236.0,1320.0,1212.0,1272.0,179
2024-03-14,1029.5999755859375,1308.0,972.0,1272.0,177
2024-03-15,1108.800048828125,1116.0,997.2000122070312,1002.0,32
2024-03-18,1084.800048828125,1164.0,1068.0,1068.0,6
2024-03-19,1032.0,1084.800048828125,993.5999755859375,1084.800048828125,50
2024-03-20,997.2000122070312,1080.0,984.0,1080.0,30
2024-03-21,966.0,990.0,924.0,972.0,167
2024-03-22,876.0,972.0,872.4000244140625,956.4000244140625,48
2024-03-25,883.2000122070312,930.0,882.0,906.0,23
2024-03-26,864.0,912.0,852.0,865.2000122070312,29
2024-03-27,841.2000122070312,888.0,840.0,864.0,29
2024-03-28,793.2000122070312,852.0,793.2000122070312,822.0,89
2024-04-01,780.0,822.0,780.0,780.0,31
2024-04-02,792.0,816.0,733.2000122070312,780.0,21
2024-04-03,805.2000122070312,825.5999755859375,792.0,792.0,49
2024-04-04,792.0,900.0,768.0,768.0,100
2024-04-05,828.0,900.0,792.0,900.0,75
2024-04-08,804.0,840.0,800.4000244140625,804.0,15
2024-04-09,814.7999877929688,837.5999755859375,757.2000122070312,804.0,27
2024-04-10,822.0,877.2000122070312,804.0,804.0,170
2024-04-11,824.4000244140625,870.0,817.2000122070312,838.7999877929688,86
2024-04-12,854.4000244140625,918.0,825.5999755859375,825.5999755859375,267
2024-04-15,792.0,900.0,781.2000122070312,900.0,47
2024-04-16,838.7999877929688,840.0,781.2000122070312,781.2000122070312,88
2024-04-17,804.0,882.0,802.7999877929688,838.7999877929688,89
2024-04-18,864.0,892.7999877929688,806.4000244140625,828.0,57
2024-04-19,830.4000244140625,906.0,816.0,906.0,163
2024-04-22,861.5999755859375,1008.0,828.0,828.0,244
2024-04-23,906.0,922.7999877929688,876.0,894.0,17
2024-04-24,920.4000244140625,979.2000122070312,912.0,936.0,46
2024-04-25,960.0,960.0,912.0,912.0,21
2024-04-26,972.0,973.2000122070312,960.0,972.0,18
2024-04-29,914.4000244140625,972.0,870.0,972.0,21
2024-04-30,906.0,906.0,840.0,840.0,2
2024-05-01,955.2000122070312,1032.0,931.2000122070312,931.2000122070312,105
2024-05-02,925.2000122070312,1018.7999877929688,912.0,1018.7999877929688,7
2024-05-03,996.0,996.0,924.0,924.0,12
2024-05-06,936.0,958.7999877929688,936.0,948.0,28
2024-05-07,957.5999755859375,984.0,936.0,945.5999755859375,23
2024-05-08,906.0,956.4000244140625,906.0,912.0,10
2024-05-09,908.4000244140625,913.2000122070312,864.0,864.0,6
2024-05-10,926.4000244140625,952.7999877929688,926.4000244140625,938.4000244140625,8
2024-05-13,915.5999755859375,951.5999755859375,906.0,907.2000122070312,53
2024-05-14,958.7999877929688,960.0,916.7999877929688,916.7999877929688,11
2024-05-15,924.0,1014.0,912.0,912.0,82
2024-05-16,968.4000244140625,988.7999877929688,920.4000244140625,960.0,32
2024-05-17,1152.0,1152.0,954.0,1020.0,3593
2024-05-20,1260.0,1548.0,1100.4000244140625,1428.0,4532
2024-05-21,1464.0,1560.0,1224.0,1224.0,531
2024-05-22,1404.0,1500.0,1197.5999755859375,1428.0,346
2024-05-23,1452.0,1500.0,1404.0,1440.0,183
2024-05-24,1656.0,1680.0,1428.0,1440.0,260
2024-05-28,1980.0,2040.0,1560.0,1596.0,484
2024-05-29,1980.0,2062.800048828125,1572.0,1980.0,161
2024-05-30,2160.0,2508.0,1896.0,1992.0,355
2024-05-31,2400.0,3024.0,2016.0,2136.0,466
2024-06-03,2580.0,2736.0,2425.199951171875,2568.0,151
2024-06-04,2484.0,2700.0,2220.0,2640.0,159
2024-06-05,2544.0,2568.0,2184.0,2256.0,124
2024-06-06,2736.0,2760.0,2460.0,2460.0,102
2024-06-07,3336.0,3420.0,2712.0,2808.0,235
2024-06-10,3990.0,4200.0,3084.0,3120.0,362
2024-06-11,3936.0,3972.0,3540.0,3972.0,186
2024-06-12,4668.0,4776.0,3780.0,4008.0,320
2024-06-13,4452.0,5748.0,4344.0,4344.0,478
2024-06-14,4908.0,5376.0,4452.0,4452.0,384
2024-06-17,4548.0,5328.0,4224.0,5244.0,374
2024-06-18,3804.0,4548.0,3492.0,4464.0,287
2024-06-20,4068.0,4137.60009765625,3492.0,3756.0,333
2024-06-21,4068.0,4680.0,3420.0,3768.0,377
2024-06-24,4920.0,4920.0,3360.0,3948.0,556
2024-06-25,4488.0,4728.0,4320.0,4680.0,188
2024-06-26,4296.0,4500.0,3864.0,4500.0,262
2024-06-27,3600.0,4284.0,3360.0,4116.0,418
2024-06-28,3120.0,3768.0,3072.0,3528.0,240
2024-07-01,2676.0,3192.0,2592.0,3156.0,224
2024-07-02,2640.0,3024.0,2628.0,2628.0,133
2024-07-03,3384.0,3576.0,2676.0,3000.0,193
2024-07-05,4056.0,4620.0,3600.0,3600.0,343
2024-07-08,3780.0,4320.0,3780.0,3888.0,317
2024-07-09,5412.0,5882.39990234375,3840.0,3840.0,887
2024-07-10,2988.0,4788.0,2796.0,4560.0,1328
2024-07-11,2544.0,3456.0,2076.0,3216.0,973
2024-07-12,1009.2000122070312,1260.0,1002.0,1248.0,5594
2024-07-15,1176.0,1284.0,1081.199951171875,1161.5999755859375,9404
2024-07-16,1308.0,1416.0,1200.0,1368.0,10306
2024-07-17,1212.0,1272.0,1104.0,1236.0,3202
2024-07-18,1296.0,1380.0,1212.0,1296.0,3348
2024-07-19,1128.0,1200.0,1092.0,1182.0,1310
2024-07-22,958.7999877929688,1080.0,888.0,1046.4000244140625,1944
2024-07-23,900.0,912.0,798.0,912.0,1493
2024-07-24,812.4000244140625,900.0,798.0,883.2000122070312,734
2024-07-25,816.0,828.0,768.0,822.0,559
2024-07-26,816.0,876.0,757.2000122070312,792.0,380
2024-07-29,733.2000122070312,824.4000244140625,733.2000122070312,824.4000244140625,519
2024-07-30,642.0,726.0,609.5999755859375,720.0,737
2024-07-31,690.0,750.0,621.5999755859375,643.2000122070312,684
2024-08-01,717.5999755859375,828.0,690.0,828.0,418
2024-08-02,636.0,706.7999877929688,612.0,662.4000244140625,362
2024-08-05,588.0,624.0,542.4000244140625,556.7999877929688,477
2024-08-06,582.0,613.2000122070312,576.0,609.5999755859375,261
2024-08-07,408.0,600.0,399.6000061035156,576.0,1513
2024-08-08,434.3999938964844,444.0,397.20001220703125,444.0,592
2024-08-09,481.20001220703125,514.7999877929688,454.79998779296875,489.6000061035156,443
2024-08-12,457.20001220703125,494.3999938964844,450.0,494.3999938964844,270
2024-08-13,448.79998779296875,470.3999938964844,420.0,470.3999938964844,143
2024-08-14,438.0,466.79998779296875,429.6000061035156,466.79998779296875,172
2024-08-15,499.20001220703125,511.20001220703125,439.20001220703125,446.3999938964844,1131
2024-08-16,622.7999877929688,660.0,494.3999938964844,514.7999877929688,3245
2024-08-19,742.7999877929688,852.0,576.0,600.0,6861
2024-08-20,670.7999877929688,738.0,578.4000244140625,708.0,3333
2024-08-21,696.0,800.4000244140625,612.0,624.0,875
2024-08-22,684.0,764.4000244140625,680.4000244140625,747.5999755859375,424
2024-08-23,690.0,744.0,636.0,696.0,260
2024-08-26,718.7999877929688,720.0,633.5999755859375,660.0,3148
2024-08-27,748.7999877929688,768.0,687.5999755859375,687.5999755859375,749
2024-08-28,696.0,766.7999877929688,667.2000122070312,742.7999877929688,867
2024-08-29,679.2000122070312,706.7999877929688,620.4000244140625,646.7999877929688,419
2024-08-30,670.7999877929688,681.5999755859375,612.0,660.0,147
2024-09-03,564.0,657.5999755859375,528.0,636.0,522
2024-09-04,562.7999877929688,589.2000122070312,530.4000244140625,530.4000244140625,92
2024-09-05,560.4000244140625,603.5999755859375,552.0,558.0,73
2024-09-06,505.20001220703125,536.4000244140625,492.0,502.79998779296875,173
2024-09-09,514.7999877929688,525.5999755859375,480.0,501.6000061035156,360
2024-09-10,504.0,504.0,480.0,499.20001220703125,110
2024-09-11,470.3999938964844,499.20001220703125,451.20001220703125,483.6000061035156,525
2024-09-12,480.0,489.6000061035156,444.0,452.3999938964844,1434
2024-09-13,588.0,595.2000122070312,490.79998779296875,516.0,1389
2024-09-16,444.0,664.7999877929688,442.79998779296875,562.7999877929688,1388
2024-09-17,462.0,529.2000122070312,444.0,457.20001220703125,679
2024-09-18,423.6000061035156,474.0,411.6000061035156,462.0,303
2024-09-19,386.3999938964844,468.0,384.0,451.20001220703125,491
2024-09-20,415.20001220703125,421.20001220703125,386.3999938964844,421.20001220703125,207
2024-09-23,384.0,415.20001220703125,380.3999938964844,403.20001220703125,185
2024-09-24,346.79998779296875,384.0,316.79998779296875,381.6000061035156,629
2024-09-25,259.20001220703125,348.0,248.39999389648438,346.79998779296875,2346
2024-09-26,244.8000030517578,270.0,237.60000610351562,259.20001220703125,850
2024-09-27,286.79998779296875,327.6000061035156,244.8000030517578,252.0,4779
2024-09-30,295.20001220703125,344.3999938964844,279.6000061035156,312.0,5608
2024-10-01,312.0,384.0,276.0,373.20001220703125,24112
2024-10-02,315.6000061035156,330.0,284.3999938964844,300.0,3535
2024-10-03,280.79998779296875,296.3999938964844,258.0,285.6000061035156,2274
2024-10-04,266.3999938964844,280.79998779296875,254.39999389648438,268.79998779296875,1620
2024-10-07,241.1999969482422,264.0,225.60000610351562,262.79998779296875,1789
2024-10-08,222.0,226.8000030517578,210.0,218.39999389648438,942
2024-10-09,212.39999389648438,226.8000030517578,204.0,214.8000030517578,1726
2024-10-10,204.0,213.60000610351562,198.0,206.39999389648438,965
2024-10-11,205.1999969482422,213.60000610351562,176.39999389648438,200.39999389648438,1577
2024-10-14,210.0,212.39999389648438,198.0,205.1999969482422,559
2024-10-15,189.60000610351562,213.60000610351562,189.60000610351562,208.8000030517578,1119
