date,open,high,low,close,volume,vwap,macd_line,macd_signal_line,macd_histogram,evwma_short,evwma_long,evwma_oscillator,evwma_signal,evwma_histogram
2024-06-24,143.24700370254857,143.93920516246737,142.44904883431894,143.36236572265625,6914700,143.25020657314752,0.0,0.0,0.0,143.36236572265625,143.36236572265625,0.0,0.0,0.0
2024-06-25,143.42006780428548,143.43929970034114,141.2665648744844,141.5069122314453,5912500,142.7066351981494,-0.1480133839142752,-0.029602676782855043,-0.11841070713142017,143.09149241977266,143.27094598293306,-0.17945356316039351,-0.03589071263207871,-0.1435628505283148
2024-06-26,140.5551431293213,141.5069240232686,140.15136129633632,141.15121459960938,5267800,142.19131503574732,-0.29066626349307967,-0.08181539412489998,-0.2088508693681797,142.83912216048734,143.17789330809077,-0.3387711476034383,-0.09646679962635063,-0.24230434797708766
2024-06-27,141.13196740669514,141.67034312566167,139.24763772067408,140.1705780029297,5739200,141.75102714675057,-0.4773463248527321,-0.1609215802704664,-0.31642474458226566,142.46096639186868,143.03406344142925,-0.5730970495605732,-0.19179284961319515,-0.381304199947378
2024-06-28,140.40131639965404,141.39156108265706,140.02637508070714,140.51669311523438,10495700,141.41284305306874,-0.5905554656788468,-0.2468483573521425,-0.34370710832670426,141.95710197138544,142.81388374365721,-0.8567817722717734,-0.32479063414491083,-0.5319911381268626
2024-07-01,140.4301640108503,142.95860828913857,139.9975270226148,140.78587341308594,5144400,141.39127374744834,-0.651049036974058,-0.3276884932765256,-0.3233605436975324,141.80832991718012,142.72694294078562,-0.9186130236055021,-0.44355511203702913,-0.475057911568473
2024-07-02,140.7762430079456,141.4684445505363,140.11289664346444,140.39169311523438,5492000,141.301675375359,-0.7224695050599053,-0.40664469563320155,-0.3158248094267037,141.616226971099,142.62006634043624,-1.0038393693372427,-0.5556119634970719,-0.44822740584017084
2024-07-03,140.55513794462817,140.98776027332244,139.15151752978554,140.06483459472656,3246200,141.21861319477222,-0.7962666255088777,-0.4845690816083368,-0.31169754390054094,141.49187808388467,142.5509430629952,-1.0590649791105307,-0.6563025666197636,-0.40276241249076705
2024-07-05,140.14173206749064,140.89161459981793,138.92076346449107,140.82431030273438,4888500,141.125965091939,-0.7844256619681573,-0.5445403976803009,-0.2398852642878564,141.41130018022656,142.4806043609241,-1.069304180697543,-0.7389028894353195,-0.3304012912622235
2024-07-08,140.7474068139104,141.53575318866373,139.64181483624648,139.86293029785156,5260200,141.05574049379013,-0.8429005124386606,-0.6042124206319729,-0.2386880918066877,141.21019560602238,142.36585861836934,-1.1556630123469631,-0.8222549140176482,-0.33340809832931495
2024-07-09,140.0455923845022,141.44922736561716,139.57450629660212,141.372314453125,5890400,141.03217418262568,-0.7587017246380583,-0.63511028143319,-0.12359144320486826,141.23377449137973,142.31708884711136,-1.0833143557316305,-0.8744668023604447,-0.20884755337118577
2024-07-10,141.57420234426093,143.69887944165606,141.0165947138602,143.66041564941406,6093200,141.18460544772122,-0.5015612487411261,-0.6084004748947773,0.10683922615365127,141.59886115567937,142.3852985043763,-0.7864373486969214,-0.8568609116277401,0.07042356293081875
2024-07-11,143.80463612887874,144.76602558180377,142.90092769598704,143.9199981689453,6350400,141.406321283748,-0.2736746777625285,-0.5414553154683276,0.2677806377057991,141.96281543935947,142.46651481062528,-0.5036993712658102,-0.7862286035553543,0.2825292322895441
2024-07-12,144.20841012952255,145.0544374965666,143.477759465936,144.09304809570312,5336400,141.5886058303245,-0.07820771571297769,-0.44880579551725763,0.37059807980427995,142.24350120595977,142.5388467458127,-0.2953455398529172,-0.6880519908148669,0.39270645096194967
2024-07-15,144.2853162233957,144.44875065346244,143.1220286486841,143.47775268554688,6711400,141.74698756211663,0.026743776999552438,-0.35369588101389565,0.3804396580134481,142.44803343756718,142.5913581901788,-0.14332475261161903,-0.5791065431742173,0.43578179056259825
