date,open,high,low,close,volume,vwap,macd_line,macd_signal_line,macd_histogram,evwma_short,evwma_long,evwma_oscillator,evwma_signal,evwma_histogram
2024-06-24,322.91252265151473,327.1381787745254,319.68694835127417,323.5400085449219,2447300,323.4550452235738,0.0,0.0,0.0,323.5400085449219,323.5400085449219,0.0,0.0,0.0
2024-06-25,321.5889495611798,323.02036050727367,318.02019113208564,320.9908752441406,2990400,321.9273697506528,-0.20334966501957297,-0.040669933003914596,-0.16267973201565838,323.3517880949797,323.4764841430664,-0.1246960480866619,-0.024939209617332384,-0.09975683846932952
2024-06-26,319.86340049759536,321.2948114754305,317.44175148705955,320.3340148925781,2198600,321.28325445357603,-0.4127509444043653,-0.11508613528400474,-0.2976648091203606,323.1879639921945,323.41890886894873,-0.23094487675422215,-0.06614034304471034,-0.1648045337095118
2024-06-27,319.64768326861224,322.785052505304,318.3143207911291,321.0496826171875,1995100,321.1658232242039,-0.5150177585472306,-0.19507245993664996,-0.3199452986105807,323.0826285558667,323.379518508158,-0.2968899522913375,-0.11229026489403578,-0.18459968739730176
2024-06-28,322.07914148817224,327.64794338245827,321.8928585092991,326.57928466796875,8891500,323.1855573200488,-0.14816432673302415,-0.1856908332959248,0.03752650656290066,323.850295662552,323.61660784824096,0.2336878143110539,-0.04309464905301784,0.27678246336407175
2024-07-01,328.54995754578493,328.7264566509173,319.0006348819345,322.63800048828125,2950200,323.22258039952845,-0.17345950045216796,-0.18324456672717346,0.0097850662750055,323.76198669407955,323.59254878629633,0.16943790778321954,-0.0005881376857703596,0.17002604546898992
2024-07-02,321.57916432341034,323.6282474812696,319.2065243973669,321.3438720703125,2119800,323.0581836481078,-0.2945362254495194,-0.20550289847164266,-0.08903332697787675,323.6354207834756,323.55282591210846,0.08259487136712096,0.016048464124807905,0.06654640724231306
2024-07-03,321.83405806769287,324.922388319428,321.83405806769287,324.1380310058594,1352200,323.0892610212709,-0.16314449974339595,-0.19703121872599333,0.033886718982597375,323.6522017598387,323.5594201981732,0.09278156166550389,0.0313950836329471,0.061386478032556785
2024-07-05,325.0792694668502,326.91265799166774,320.2359713718976,321.9223022460937,2280900,323.0837638435513,-0.2350963593025881,-0.2046442468413123,-0.0304521124612758,323.55477638203865,323.52830267869905,0.026473703339604526,0.030410807574278588,-0.003937104234674062
2024-07-08,323.89291714914094,326.736171202064,320.735980018695,322.6183776855469,1913400,323.1021329794357,-0.23326235257007966,-0.2103678679870658,-0.022894484583013852,323.5105367458444,323.5137939246832,-0.003257178838850905,0.023677210291652692,-0.026934389130503597
