date,close,high,low,open,volume
2024-03-18,40.18461227416992,40.2830542129403,39.70224151674812,40.253522382373035,16126600
2024-03-19,40.863868713378906,41.03122450768113,40.08616842145854,40.28305228959894,15936400
2024-03-20,42.183013916015625,42.222392194578745,40.716208715073016,40.77527237759836,16909300
2024-03-21,42.744140625,42.91149642881817,42.17317061535283,42.25192341602311,15268300
2024-03-22,42.38974380493164,42.980402903635685,42.330676392933654,42.62600594228567,9393800
2024-03-25,42.87211227416992,43.275730179992664,42.38974157847186,42.38974157847186,14644700
2024-03-26,43.31510925292969,43.87623650418986,42.75398200166951,43.00993326764199,15961300
2024-03-27,43.895931243896484,44.11250801950785,43.364335752115494,43.37418219936291,22172100
2024-03-28,44.64409637451172,44.8311413048522,43.90577061028946,43.93530619447529,14766400
2024-04-01,44.69332504272461,45.018186454901205,44.27986062548606,44.42752729349683,11008300
2024-04-02,44.19125747680664,44.555497135692306,43.895927922161,44.27001402754897,13061900
2024-04-03,44.46689987182617,44.71300847086525,43.945150843565486,43.974682673748035,14377100
2024-04-04,43.000091552734375,45.323357157144216,42.94102414140705,44.998492027822316,16988600
2024-04-05,43.54153060913086,43.62028715924856,42.78351571318346,43.039470745747,11210500
2024-04-08,43.64982223510742,44.15188213584083,43.590754818124964,43.73842148292147,8250400
2024-04-09,44.03374481201172,44.17156501010485,43.3840183386307,43.886081923477114,8793800
2024-04-10,43.25604248046875,43.85654801390407,42.832735424287094,43.21666796188263,11636400
2024-04-11,43.1576042175293,43.30527087955884,42.517720355826896,43.21667163340496,19563000
2024-04-12,42.40943145751953,42.90164860764681,41.98612440798456,42.822892061073404,11903900
2024-04-15,42.0255012512207,43.295422470090266,41.85814921347089,43.049313881409454,13499600
2024-04-16,41.995975494384766,42.25192681127986,41.47422641264501,41.828623432437894,12384900
2024-04-17,41.79907989501953,42.48818466297938,41.631727864897826,42.242076085516494,10663300
2024-04-18,41.77939224243164,42.17316748248899,41.35608517373164,42.10425737877681,14180500
2024-04-19,41.71048355102539,42.29129998435082,41.53328506253159,41.84830376311632,15515000
2024-04-22,42.53740692138672,42.881961193507344,41.55297258158891,42.015657922995956,21315100
2024-04-23,44.397987365722656,45.244601501526056,43.679350745994405,45.17569139794382,28767300
