date,open,high,low,close,volume,vwap,macd_line,macd_signal_line,macd_histogram,evwma_short,evwma_long,evwma_oscillator,evwma_signal,evwma_histogram
2024-06-24,3.9700000286102295,3.9700000286102295,3.5799999237060547,3.660000085830689,2231500,3.736666679382324,0.0,0.0,0.0,3.660000085830689,3.660000085830689,0.0,0.0,0.0
2024-06-25,3.660000085830689,3.849999904632568,3.539999961853028,3.799999952316284,1143900,3.7344073668160256,0.011168080517369727,0.0022336161034739455,0.008934464413895782,3.663954304281871,3.661334634557963,0.0026196697239080358,0.0005239339447816072,0.002095735779126429
2024-06-26,4.420000076293945,4.510000228881836,3.375,3.839999914169312,27588500,3.8893735643165,0.022981609725609253,0.006383214827901007,0.016598394897708247,3.7838761390566775,3.7024105267792775,0.08146561227740001,0.01671226961130529,0.06475334266609473
2024-06-27,3.849999904632568,4.025000095367432,3.759999990463257,3.809999942779541,3244600,3.8870617869559494,0.02958216498045152,0.011023004858411109,0.01855916012204041,3.7859690105025834,3.705319565272231,0.08064944523035233,0.0294997047351147,0.051149740495237635
2024-06-28,4.019999980926514,4.150000095367432,3.943000078201294,4.03000020980835,9177500,3.919624575021827,0.051966300342179306,0.01921166395516475,0.032754636387014556,3.8412676853576126,3.7301508703991497,0.11111681495846293,0.04582312677978435,0.06529368817867859
2024-07-01,4.079999923706055,4.739999771118164,4.0320000648498535,4.639999866485596,5397700,3.980594927059822,0.11757246105462738,0.038883823375057275,0.0786886376795701,3.9477199494088353,3.7710766364506147,0.17664331295822056,0.07198716401547159,0.10465614894274897
2024-07-02,4.559999942779541,4.690000057220459,4.289999961853027,4.300000190734863,2178100,3.999659972022236,0.1405109608571462,0.059209250871475064,0.08130170998567114,3.966665667770125,3.7806770397305023,0.18598862803962257,0.09478745682030179,0.09120117121932078
2024-07-03,4.28000020980835,4.449999809265137,4.270999908447266,4.329999923706055,747300,4.004727902301145,0.1592745965422111,0.07922232000562227,0.08005227653658883,3.9733698576333576,3.7840979479904595,0.18927190964289808,0.11368434738482106,0.07558756225807703
2024-07-05,4.309999942779541,4.449999809265137,4.300000190734863,4.429999828338623,1486100,4.0155842661464085,0.18013755596368064,0.09940536719723395,0.0807321887664467,3.990125358854718,3.7920969045270043,0.19802845432771354,0.13055316877339956,0.06747528555431398
2024-07-08,4.460000038146973,4.639999866485596,4.460000038146973,4.570000171661377,899000,4.024576599907338,0.20559844835708851,0.12064398342920488,0.08495446492788364,4.0029971479093645,3.797924696503286,0.20507245140607866,0.14545702529993537,0.05961542610614329
2024-07-09,4.559999942779541,4.849999904632568,4.489999771118164,4.840000152587891,968200,4.036921930790763,0.2447418987294574,0.14546356648925537,0.09927833224020202,4.023006686406395,3.806332508641462,0.21667417776493325,0.15970045579293496,0.05697372197199829
2024-07-10,4.849999904632568,4.900000095367432,4.690000057220459,4.829999923706055,724500,4.0469185443248925,0.2718230236547914,0.17073545792236258,0.1010875657324288,4.037442898762534,3.8125129006599145,0.2249299981026196,0.1727463642548719,0.05218363384774771
2024-07-11,4.909999847412109,5.090000152587891,4.829999923706055,5.070000171661377,1449400,4.070969103992755,0.30908804987301597,0.19840597631249327,0.1106820735605227,4.07439570151166,3.827701251081494,0.24669445043016625,0.18753598148993078,0.059158468940235465
2024-07-12,5.0,5.110000133514404,4.829999923706055,4.889999866485596,1902800,4.099037414251087,0.32040292584337937,0.2228053662186705,0.09759755962470887,4.112715000403324,3.8445457661264184,0.26816923427690575,0.20366263204732576,0.06450660222957999
2024-07-15,4.909999847412109,5.025000095367432,4.869999885559082,4.949999809265137,1259200,4.116743762496729,0.3304028619866948,0.24432486537227538,0.0860779966144194,4.138747322164282,3.856145663885754,0.28260165827852823,0.21945043729356628,0.06315122098496195
2024-07-16,4.989999771118164,5.0,4.815000057220459,4.960000038146973,1221000,4.132759538476106,0.33527003406691236,0.2625138991112028,0.07275613495570954,4.163506570712797,3.8673773821438617,0.2961291885689352,0.23478618754864006,0.06134300102029516
2024-07-17,4.869999885559082,4.869999885559082,4.659999847412109,4.78000020980835,1507000,4.147972236618921,0.32090364373161506,0.2741918480352853,0.04671179569632977,4.186446222913217,3.8788384038212813,0.3076078190919356,0.24935051385729917,0.0582573052346364
2024-07-18,4.78000020980835,4.875,4.605000019073486,4.710000038146973,1351400,4.160171064201312,0.30040684394913164,0.27943484721805456,0.02097199673107708,4.203916114910918,3.8881986690931796,0.3157174458177381,0.262623900249387,0.05309354556835111
2024-07-19,4.630000114440918,4.748000144958496,4.460000038146973,4.46999979019165,989200,4.166202376327296,0.26177933893850813,0.27590374556214525,-0.01412440662363712,4.210415126555058,3.8929946496681014,0.31742047688695685,0.27358321557690096,0.043837261310055886
2024-07-22,4.440000057220459,4.644999980926514,4.429999828338623,4.619999885559082,986900,4.172124886016884,0.24049820343028294,0.2688226371357728,-0.02832443370548987,4.220395847509653,3.898973661895608,0.3214221856140447,0.2831510095843297,0.03827117602971497
2024-07-23,4.570000171661377,4.650000095367432,4.449999809265137,4.460000038146973,891400,4.17672945857146,0.2083207082564309,0.25672225135990445,-0.048401543103473554,4.225669506164816,3.903141152827195,0.32252835333762064,0.2910264783349879,0.03150187500263274
2024-07-24,4.449999809265137,4.724999904632568,4.369999885559082,4.510000228881836,1028900,4.182120748059986,0.1847250140534138,0.24232280389860633,-0.05759778984519254,4.232892910624162,3.9083444636884668,0.3245484469356956,0.2977308720551295,0.02681757488056613
2024-07-25,4.519999980926514,4.679999828338623,4.510000228881836,4.579999923706055,556300,4.18541252098336,0.16971725192530762,0.2278016935039466,-0.058084441578638984,4.237660703991507,3.9114581464585316,0.3262025575329752,0.30342520915069865,0.022777348382276574
2024-07-26,4.619999885559082,4.718999862670898,4.420000076293945,4.460000038146973,624500,4.1885333417433825,0.14645229355327238,0.21153181351381176,-0.06507951996053937,4.241089121625583,3.9143128498865267,0.3267762717390563,0.3080954216683702,0.01868085007068615
2024-07-29,4.440000057220459,4.539999961853027,4.355000019073486,4.400000095367432,815500,4.191350936175334,0.12176946983717496,0.19357934477848443,-0.07180987494130947,4.244288921603027,3.9176134994589407,0.3266754221440862,0.3118114217635134,0.014864000380572784
2024-07-30,4.440000057220459,4.5,4.260000228881836,4.260000228881836,640400,4.192691506316645,0.08987530840449054,0.17283853750368566,-0.08296322909919512,4.244537354224788,3.9194407033049607,0.32509665091982765,0.31446846759477626,0.010628183325051388
