date,close,high,low,open,volume
2024-03-13,193.58021545410156,194.9371176706582,192.717619563211,193.79344273400383,2537600
2024-03-14,190.30429077148438,193.58020881691417,188.95709016136377,193.11499239897066,3838000
2024-03-15,191.60302734375,192.4365481006212,189.86813406668674,190.34305204304283,6310100
2024-03-18,190.70167541503906,192.88239701324449,190.33338582383826,192.88239701324449,2481700
2024-03-19,192.91146850585938,193.10532225324184,190.0813783038572,190.70167184417323,4524800
2024-03-20,194.9855499267578,195.49924454077262,192.22331186941378,192.47530100222502,2714400
2024-03-21,195.17941284179688,196.83675279648034,195.09217274763202,195.78031799624782,2811800
2024-03-22,194.54942321777344,195.75124834912745,193.92912971522767,195.3151070220031,2061300
2024-03-25,192.36871337890625,194.53006139127547,192.32024994209283,194.21022045506436,1961300
2024-03-26,194.81112670898438,195.26665639734145,191.66119555572965,191.95196138920764,2697100
2024-03-27,198.81394958496094,198.93993676354035,195.98385961796404,196.69137841247243,2760100
2024-03-28,198.9302520751953,200.45191810572754,198.86240031074246,199.07562758621785,3594100
2024-04-01,195.79000854492188,199.55054619066934,195.67370813574237,199.0659414338035,2221900
2024-04-02,194.0648193359375,196.0710901543478,193.8612936172071,195.85786287541634,2615100
2024-04-03,191.87440490722656,194.752958290478,191.82594147468419,193.2797557171763,2496000
2024-04-04,190.01351928710938,194.5009490704756,189.49983945184061,194.5009490704756,3414700
2024-04-05,191.0796661376953,192.2911781339753,189.1412469436473,189.86815414141532,2212800
2024-04-08,191.67088317871094,193.05686058255932,191.25413015374804,191.50611932310017,2384700
2024-04-09,192.3008575439453,193.3766806642776,189.98444746544143,192.2427073410565,2042000
2024-04-10,189.62583923339844,190.4012098176629,188.41432731703642,189.54831548503944,2907300
2024-04-11,190.8082733154297,191.12811423144635,188.28833743884832,189.97475253734606,3026300
2024-04-12,190.12014770507812,190.4012119657009,188.6178699540483,189.87784531907215,3499500
2024-04-15,188.06541442871094,192.3784087540306,187.2318936248001,192.0101043928483,3179900
2024-04-16,184.84764099121094,187.72619445112144,184.66348881602363,187.19312625688548,2801900
2024-04-17,184.4987335205078,186.59222973179732,183.90751509386487,186.4856160880104,2424300
2024-04-18,185.19654846191406,186.3789852058351,184.14011368235012,185.119009929153,2143100
2024-04-19,188.2786407470703,188.5403314649348,185.72962970211938,186.67945091460015,3570000
2024-04-22,189.55799865722656,190.25583069091854,188.16233458984263,188.29802333034033,2366900
2024-04-23,190.12014770507812,191.52549858611997,189.65491647589258,189.99414573188653,2557300
2024-04-24,188.7923126220703,189.6936851503115,187.3094232652844,187.60018907403847,3578300
2024-04-25,187.07684326171875,193.9776109597761,184.6247441289327,193.3185555229796,3894300
2024-04-26,187.4935760498047,187.68741499328635,184.25641984787458,184.44057202031934,3041300
2024-04-29,187.80372619628906,188.27862937937425,186.30144853557113,187.30941989361597,2593600
2024-04-30,186.79574584960938,189.8099880354735,186.39838118772158,188.01695930452195,3127900
2024-05-01,189.28663635253906,191.10874032974567,185.99131486501716,186.0591666351879,5084600
2024-05-02,187.67771911621094,190.43027043140268,186.75697308762471,190.3333583588457,3418700
2024-05-03,189.78091430664062,190.19768209173517,187.58080454881937,188.77294291000143,2251400
2024-05-06,188.995849609375,191.1281075189702,187.9781766921473,190.32366187159832,2257600
2024-05-07,190.7888946533203,191.11842233165942,189.0249262769818,189.0249262769818,2052200
2024-05-08,191.9519500732422,192.25240266083676,189.88752904511153,190.63382452295093,1788300
2024-05-09,194.45249938964844,194.6075616641929,191.77747180551864,192.72730772777825,2692000
2024-05-10,196.6719970703125,196.97244965993255,194.53973905107503,194.8111165377618,2318400
2024-05-13,197.52490234375,200.35499235615484,197.46675213901676,198.14519584251047,3505300
2024-05-14,196.9530792236328,199.0562621731084,196.66231340074995,198.68795781152582,2378400
2024-05-15,198.74609375,199.0271727812278,196.52661054629726,198.0773368420698,2675800
2024-05-16,201.31834411621094,201.9516747226017,199.33069490472238,199.710687321651,2566800
2024-05-17,200.68504333496094,201.6886135074768,199.91530551812832,201.58143538870004,2267200
2024-05-20,199.3696746826172,200.89939737320543,198.0348321093192,200.47068490279176,2008300
2024-05-21,198.2881622314453,199.9737831266279,197.9276607632029,199.95429214077893,1742800
2024-05-22,197.59637451171875,198.707122751119,196.69998249985758,197.90815592715236,2013300
2024-05-23,194.27386474609375,196.3784450188669,194.10822854878265,196.3589540346936,2616400
2024-05-24,194.566162109375,195.65741930236518,194.07899159575234,195.2092307555003,2360600
2024-05-28,194.06927490234375,195.68668487767795,193.01699947965596,193.0754575734423,2417300
2024-05-29,192.01341247558594,193.31902601382396,191.838023342258,192.7539063777361,2846200
2024-05-30,195.75486755371094,196.1153689913714,192.33492088974234,192.72466623732848,2312800
2024-05-31,197.00204467773438,197.0897318153964,194.02056305909431,195.18976949638719,3163500
2024-06-03,197.26510620117188,198.59021069558105,195.8328235907713,198.59021069558105,2443500
2024-06-04,201.91270446777344,202.80909650670094,195.90102159107778,195.90102159107778,3360800
2024-06-05,203.900390625,204.0757649077551,200.58762156715534,202.59476209522137,2722800
2024-06-06,203.10140991210938,204.81625985257867,202.29270497286825,203.80293673007117,3270800
2024-06-07,203.42294311523438,205.5567526020873,202.33168579008313,203.16961976968597,2563200
2024-06-10,205.3326416015625,205.64442301170558,203.76395189060804,204.387529578159,2648200
2024-06-11,204.10498046875,204.47523486423583,201.8347637992876,204.39728578796166,2304700
2024-06-12,203.15013122558594,206.19982380438728,202.40963729851424,205.34239882873973,2471200
2024-06-13,203.2767791748047,203.60805156554474,200.95784270509515,201.7762856236051,1959700
2024-06-14,203.17935180664062,203.32549702718944,200.7240080305613,201.88347633780057,2239200
2024-06-17,206.5115966796875,206.72595291471012,202.2147487875506,202.66295224276126,3100600
