date,close,high,low,open,volume
2024-03-12,1986.5999755859375,2244.0,1980.0,2059.199951171875,9
2024-03-13,2046.0,2178.0,1986.5999755859375,1986.5999755859375,5
2024-03-14,1980.0,2046.0,1914.0,1986.5999755859375,10
2024-03-15,2112.0,2230.800048828125,1973.4000244140625,2059.199951171875,27
2024-03-18,2032.800048828125,2178.0,1980.0,2164.800048828125,11
2024-03-19,1999.800048828125,2059.199951171875,1980.0,2026.199951171875,5
2024-03-20,2151.60009765625,2230.800048828125,1986.5999755859375,2046.0,49
2024-03-21,1927.199951171875,2072.39990234375,1815.0,2039.4000244140625,234
2024-03-22,1933.800048828125,1947.0,1828.199951171875,1907.4000244140625,20
2024-03-25,1927.199951171875,1980.0,1867.800048828125,1933.800048828125,8
2024-03-26,2296.800048828125,2455.199951171875,1920.5999755859375,1920.5999755859375,113
2024-03-27,2283.60009765625,2362.800048828125,2118.60009765625,2244.0,14
2024-03-28,2257.199951171875,2310.0,2145.0,2178.0,11
2024-04-01,2336.39990234375,2336.39990234375,2145.0,2303.39990234375,6
2024-04-02,2270.39990234375,2362.800048828125,2178.0,2362.800048828125,5
2024-04-03,2197.800048828125,2376.0,2052.60009765625,2376.0,17
2024-04-04,2178.0,2310.0,2178.0,2257.199951171875,4
2024-04-05,2125.199951171875,2310.0,2059.199951171875,2310.0,13
2024-04-08,2112.0,2263.800048828125,2059.199951171875,2263.800048828125,5
2024-04-09,2178.0,2257.199951171875,1960.199951171875,2145.0,72
2024-04-10,2237.39990234375,2356.199951171875,2026.199951171875,2112.0,36
2024-04-11,2362.800048828125,2448.60009765625,2204.39990234375,2204.39990234375,16
2024-04-12,2389.199951171875,2442.0,2244.0,2310.0,7
2024-04-15,2105.39990234375,2442.0,1861.199951171875,2442.0,20
2024-04-16,2059.199951171875,2178.0,1980.0,2052.60009765625,4
2024-04-17,2079.0,2105.39990234375,1980.0,2032.800048828125,4
2024-04-18,2046.0,2178.0,1900.800048828125,2026.199951171875,11
2024-04-19,1887.5999755859375,2039.4000244140625,1848.0,1947.0,8
2024-04-22,1920.5999755859375,1927.199951171875,1848.0,1887.5999755859375,3
2024-04-23,1947.0,1973.4000244140625,1914.0,1920.5999755859375,2
2024-04-24,1907.4000244140625,1947.0,1874.4000244140625,1874.4000244140625,2
2024-04-25,1881.0,1966.800048828125,1881.0,1914.0,2
2024-04-26,1881.0,1980.0,1881.0,1881.0,2
2024-04-29,1696.199951171875,1980.0,1696.199951171875,1894.199951171875,20
2024-04-30,1768.800048828125,1848.0,1722.5999755859375,1815.0,6
2024-05-01,1650.0,1782.0,1636.800048828125,1782.0,6
2024-05-02,1531.199951171875,1716.0,1188.0,1650.0,33
2024-05-03,1518.0,1564.199951171875,1452.0,1518.0,11
