date,close,high,low,open,volume
2024-03-13,101.55000305175781,106.0,101.52999877929688,104.97000122070312,104800
2024-03-14,101.7699966430664,102.97000122070312,100.5999984741211,101.55000305175781,95500
2024-03-15,102.20999908447266,104.16000366210938,100.83000183105469,101.54000091552734,207300
2024-03-18,103.08000183105469,104.33999633789062,101.30999755859375,103.13999938964844,91300
2024-03-19,106.94999694824219,107.88999938964844,101.3499984741211,102.16000366210938,69900
2024-03-20,110.47000122070312,110.6500015258789,106.33999633789062,106.33999633789062,96800
2024-03-21,114.94000244140625,115.63999938964844,110.16999816894531,111.8499984741211,119400
2024-03-22,113.83000183105469,115.44999694824219,113.41000366210938,115.44999694824219,45000
2024-03-25,113.0199966430664,116.19000244140625,112.91999816894531,114.33999633789062,74900
2024-03-26,116.91000366210938,117.20999908447266,113.5,113.5,80900
2024-03-27,116.12000274658203,117.9800033569336,114.83999633789062,117.97000122070312,100800
2024-03-28,121.63999938964844,122.83000183105469,115.76000213623047,116.61000061035156,266500
2024-04-01,122.41999816894531,127.55999755859375,120.94000244140625,123.6500015258789,156800
2024-04-02,125.30000305175781,125.7699966430664,119.52999877929688,121.7699966430664,181100
2024-04-03,126.4800033569336,129.72999572753906,125.22000122070312,125.33000183105469,181500
2024-04-04,125.94999694824219,132.6199951171875,125.73999786376953,128.74000549316406,214300
2024-04-05,133.6300048828125,135.47999572753906,126.11000061035156,126.11000061035156,239300
2024-04-08,133.97000122070312,138.55999755859375,132.57000732421875,136.42999267578125,181600
2024-04-09,125.52999877929688,136.33999633789062,123.7300033569336,134.69000244140625,212200
2024-04-10,123.72000122070312,127.80000305175781,121.0,123.69000244140625,137300
2024-04-11,125.38999938964844,126.26000213623047,121.33999633789062,123.20999908447266,92800
2024-04-12,123.44999694824219,126.12000274658203,122.62000274658203,124.44000244140625,98900
2024-04-15,119.75,126.05999755859375,119.63999938964844,123.87000274658203,88200
2024-04-16,120.66999816894531,121.20999908447266,114.81999969482422,119.0,159400
2024-04-17,116.70999908447266,121.66999816894531,114.69000244140625,121.66999816894531,94400
2024-04-18,115.87000274658203,118.83999633789062,115.1500015258789,118.0,66300
2024-04-19,115.51000213623047,117.41000366210938,112.7300033569336,115.27999877929688,123600
2024-04-22,117.68000030517578,118.41000366210938,115.12000274658203,116.13999938964844,62800
