"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"F","Ford Motor Co","Consumer Cyclical","Auto Manufacturers","USA",55083.32,11.87,62.17%,4.44%,2.13,22.70%,26.58%,2.92,81165.12
"ETH","Grayscale Ethereum Mini Trust ETF","Financial","Exchange Traded Fund","USA",,,,,0.36,3.41%,49.19%,,5959.04
"STLA","Stellantis N.V","Consumer Cyclical","Auto Manufacturers","Netherlands",31259.76,,24.03%,2.44%,2.85,12.16%,-17.07%,2.73,16933.33
"VZ","Verizon Communications Inc","Communication Services","Telecom Services","USA",163677.74,9.02,67.57%,2.31%,4.74,-8.36%,-6.46%,2.42,20574.12
"CMC","Commercial Metals Co","Basic Materials","Steel","USA",6777.93,80.32,95.38%,3.25%,3.26,15.90%,14.23%,2.23,1094.36
"MO","Altria Group Inc","Consumer Defensive","Tobacco","USA",108638.55,12.50,61.89%,2.12%,4.43,10.13%,29.18%,2.81,8048.01
"EPD","Enterprise Products Partners L P","Energy","Oil & Gas Midstream","USA",67101.02,11.58,25.09%,2.09%,7.42,-0.51%,7.05%,1.86,4075.08
