"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"MSTU","T-Rex 2X Long MSTR Daily Target ETF","Financial","Exchange Traded Fund","USA",,,,,0.86,-75.39%,-92.17%,,79720.44
"CHGG","Chegg Inc","Consumer Defensive","Education & Training Services","USA",103.03,,47.19%,6.47%,1.60,-41.07%,-59.00%,3.67,3845.98
"SPR","Spirit Aerosystems Holdings Inc","Industrials","Aerospace & Defense","USA",4413.59,,97.16%,10.85%,11.66,-9.00%,15.45%,3.00,1084.72
"WBD","Warner Bros. Discovery Inc","Communication Services","Entertainment","USA",60846.67,130.89,71.49%,3.37%,1.54,106.00%,136.56%,1.96,51163.90
"FTEL","Fitell Corp","Consumer Cyclical","Specialty Retail","Australia",2.99,,0.00%,6.46%,0.01,-83.61%,-99.72%,,2552.96
"GSK","GSK Plc ADR","Healthcare","Drug Manufacturers - General","United Kingdom",97040.88,13.78,19.36%,0.62%,2.38,22.73%,40.71%,2.57,5281.79
"ACIC","American Coastal Insurance Corp","Financial","Insurance - Property & Casualty","USA",590.06,6.98,33.46%,2.63%,4.17,8.42%,-7.87%,2.00,157.37
"CWH","Camping World Holdings Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",1160.94,,99.10%,17.32%,4.87,-34.28%,-53.77%,1.38,2109.53
"CMCSA","Comcast Corp","Communication Services","Telecom Services","USA",98421.60,4.48,85.78%,1.46%,1.82,-20.30%,-36.54%,2.48,28949.20
"CAKE","Cheesecake Factory Inc","Consumer Cyclical","Restaurants","USA",2383.93,14.52,114.02%,19.12%,6.55,-22.48%,-3.84%,2.55,1340.37
"ACNB","ACNB Corp","Financial","Banks - Regional","USA",502.21,14.76,38.87%,1.38%,7.06,7.75%,2.98%,1.50,19.59
"FLWS","1-800 Flowers.com Inc","Consumer Cyclical","Specialty Retail","USA",219.01,,47.77%,30.77%,6.87,-35.46%,-58.50%,3.00,1402.58
"PSKY","Paramount Skydance Corp","Communication Services","Entertainment","USA",17482.09,,50.53%,10.60%,6.33,5.18%,47.08%,3.41,8445.23
"RLI","RLI Corp","Financial","Insurance - Property & Casualty","USA",5702.21,16.26,83.69%,3.65%,4.74,-4.58%,-27.26%,2.90,640.47
"O","Realty Income Corp","Real Estate","REIT - Retail","USA",52913.22,53.77,79.66%,4.41%,7.21,-0.74%,-1.24%,2.54,5615.03
