"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ABSI","Absci Corp","Healthcare","Biotechnology","USA",411.93,,2.76,15.76%,12129092
2,"AVR","Anteris Technologies Global Corp","Healthcare","Medical Instruments & Supplies","USA",179.23,,4.97,3.11%,84959
3,"BLNK","Blink Charging Co","Industrials","Engineering & Construction","USA",130.37,,1.25,10.18%,3292206
4,"COSM","Cosmos Health Inc","Healthcare","Medical Distribution","Greece",26.04,,0.86,13.41%,1541087
5,"DDD","3D Systems Corp","Technology","Computer Hardware","USA",287.01,,2.24,5.56%,2218030
6,"DEFT","DeFi Technologies Inc","Financial","Capital Markets","Canada",783.77,,2.31,8.45%,2946436
7,"EDHL","Everbright Digital Holding Ltd","Communication Services","Advertising Agencies","USA",,,0.92,11.84%,9270862
8,"EGHT","8X8 Inc","Technology","Software - Application","USA",293.87,,2.15,3.11%,286939
9,"FLWS","1-800 Flowers.com Inc","Consumer Cyclical","Specialty Retail","USA",330.82,,5.20,1.56%,158917
10,"GSIW","Garden Stage Ltd","Financial","Capital Markets","Hong Kong",8.51,,0.12,17.16%,24536636
11,"MVST","Microvast Holdings Inc","Consumer Cyclical","Auto Parts","USA",924.04,,2.84,0.71%,2338642
12,"NVAX","Novavax, Inc","Healthcare","Biotechnology","USA",1323.74,3.61,8.15,2.39%,2091456
13,"OPTT","Ocean Power Technologies","Industrials","Specialty Industrial Machinery","USA",101.52,,0.56,7.52%,4420265
14,"PRG","PROG Holdings Inc","Industrials","Rental & Leasing Services","USA",1422.79,7.10,35.98,2.65%,106500
15,"RMNI","Rimini Street Inc","Technology","Software - Application","USA",428.36,,4.63,3.58%,404599
16,"SKIN","Beauty Health Company","Consumer Defensive","Household & Personal Products","USA",301.21,,2.38,3.26%,727075
17,"VUZI","Vuzix Corporation","Technology","Consumer Electronics","USA",181.02,,2.34,3.11%,742797
18,"WOLF","Wolfspeed Inc","Technology","Semiconductors","USA",284.49,,1.82,23.69%,44936157
19,"ZOOZ","Zooz Power Ltd","Consumer Cyclical","Specialty Retail","Israel",31.40,,2.31,-2.24%,259075
