"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"CIFR","Cipher Mining Inc","Financial","Capital Markets","USA",6601.99,,56.42%,19.53%,1.23,134.69%,156.68%,1.25,50860.23
"BODI","Beachbody Company Inc","Communication Services","Internet Content & Information","USA",67.34,,23.19%,5.22%,0.99,69.04%,50.08%,1.67,191.60
"WRD","WeRide Inc. ADR","Technology","Software - Application","China",2675.66,,15.43%,2.54%,1.09,-15.37%,-53.33%,1.00,7138.49
"BLNE","Beeline Holdings Inc","Financial","Mortgage Finance","USA",48.02,,9.29%,5.76%,0.74,18.49%,-64.69%,1.00,1674.43
"PONY","Pony AI Inc. ADR","Technology","Information Technology Services","China",4437.35,,28.04%,6.14%,2.52,-15.05%,,1.00,6940.13
"WULF","TeraWulf Inc","Financial","Capital Markets","USA",5287.95,,67.34%,41.98%,2.54,36.69%,75.42%,1.14,43162.87
"MYSZ","My Size Inc","Technology","Software - Application","Israel",3.40,,3.21%,3.01%,0.47,-24.56%,-21.19%,1.00,235.33
"RIOT","Riot Platforms Inc","Financial","Capital Markets","USA",5160.68,41.21,68.23%,15.70%,1.57,1.39%,14.24%,1.05,32723.18
"B","Barrick Mining Corp","Basic Materials","Gold","Canada",66720.98,18.99,68.12%,1.02%,0.80,47.70%,121.02%,1.57,21547.73
"LX","LexinFintech Holdings Ltd ADR","Financial","Credit Services","China",501.19,2.98,55.69%,8.28%,3.18,-40.66%,13.51%,1.00,3445.85
"SKIL","Skillsoft Corp","Consumer Defensive","Education & Training Services","USA",100.25,,37.33%,6.49%,3.82,-28.82%,-20.89%,2.00,75.87
"ALRM","Alarm.com Holdings Inc","Technology","Software - Application","USA",2625.17,22.27,97.19%,5.07%,6.03,-7.83%,-12.57%,2.43,395.42
"TPC","Tutor Perini Corp","Industrials","Engineering & Construction","USA",3376.09,,81.38%,4.98%,4.06,8.51%,122.10%,1.00,551.12
"NXXT","NextNRG Inc","Utilities","Utilities - Renewable","USA",146.50,,2.98%,3.34%,0.76,-37.71%,-58.08%,1.00,1672.32
"GEVO","Gevo Inc","Basic Materials","Specialty Chemicals","USA",491.89,,35.01%,13.88%,5.88,14.69%,47.10%,2.00,5447.18
"SBH","Sally Beauty Holdings Inc","Consumer Cyclical","Specialty Retail","USA",1521.94,8.26,126.07%,20.13%,8.61,14.86%,18.89%,2.60,2249.49
"PIII","P3 Health Partners Inc","Healthcare","Medical Care Facilities","USA",42.83,,10.05%,1.01%,2.84,-19.55%,-43.62%,2.00,6.61
"RXRX","Recursion Pharmaceuticals Inc","Healthcare","Biotechnology","USA",2257.07,,48.86%,30.99%,3.06,-10.35%,-28.31%,2.43,42008.77
"INTC","Intel Corp","Technology","Semiconductors","USA",170718.30,3376.42,60.69%,2.71%,1.02,46.98%,49.06%,3.11,112370.37
"LFMD","LifeMD Inc","Healthcare","Health Information Services","USA",191.10,,42.89%,10.65%,3.43,-38.92%,-26.75%,1.25,1217.74
"NIO","NIO Inc ADR","Consumer Cyclical","Auto Manufacturers","China",11175.58,,14.95%,8.02%,1.99,-14.18%,23.66%,1.94,76806.28
"AEO","American Eagle Outfitters Inc","Consumer Cyclical","Apparel Retail","USA",3234.38,18.39,99.51%,14.97%,2.27,56.81%,10.60%,3.25,10121.48
"STGW","Stagwell Inc","Communication Services","Advertising Agencies","USA",1384.13,71.58,38.75%,7.28%,3.19,-1.96%,-27.76%,1.50,2373.97
"HPE","Hewlett Packard Enterprise Co","Technology","Communication Equipment","USA",27827.20,26.64,89.87%,3.56%,1.51,-6.27%,-0.42%,2.26,31025.10
"VSH","Vishay Intertechnology, Inc","Technology","Semiconductors","USA",1742.31,,99.38%,9.40%,7.09,-16.72%,-15.29%,2.25,1620.27
"AMPH","Amphastar Pharmaceuticals Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",1227.39,11.84,72.44%,12.55%,9.57,-11.96%,-39.42%,2.00,438.37
"AYTU","Aytu BioPharma Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",20.99,,35.49%,5.40%,2.74,-9.65%,38.26%,1.00,182.08
"PGNY","Progyny Inc","Healthcare","Healthcare Plans","USA",2269.95,41.69,96.59%,8.69%,4.15,16.30%,88.34%,1.80,1506.42
"HPQ","HP Inc","Technology","Computer Hardware","USA",22788.03,8.87,83.18%,6.18%,5.03,-9.74%,-33.53%,3.00,11457.16
"UNFI","United Natural Foods Inc","Consumer Defensive","Food Distribution","USA",2156.19,,94.45%,6.15%,3.57,27.33%,55.65%,2.50,1024.63
"OVV","Ovintiv Inc","Energy","Oil & Gas E&P","USA",10023.98,43.37,90.45%,2.46%,1.88,-3.25%,-13.47%,1.62,3291.82
"ON","ON Semiconductor Corp","Technology","Semiconductors","USA",19068.71,61.84,107.97%,9.13%,4.27,-7.06%,-29.59%,2.19,8555.79
"AIOT","PowerFleet Inc","Technology","Software - Infrastructure","USA",602.21,,86.71%,10.02%,8.21,-3.85%,-30.56%,1.14,1532.95
"SLP","Simulations Plus Inc","Healthcare","Health Information Services","USA",345.78,,77.74%,7.07%,2.34,22.98%,-37.71%,1.86,502.28
"F","Ford Motor Co","Consumer Cyclical","Auto Manufacturers","USA",51641.01,11.11,63.51%,4.54%,1.95,9.46%,22.72%,2.91,90843.77
"RNG","RingCentral Inc","Technology","Software - Application","USA",2381.40,194.42,101.65%,9.54%,4.57,-9.03%,-21.49%,2.37,1565.26
"BAC","Bank Of America Corp","Financial","Banks - Diversified","USA",379218.60,14.15,77.69%,1.51%,3.10,3.34%,12.74%,1.59,35576.72
"CX","Cemex S.A.B. De C.V. ADR","Basic Materials","Building Materials","Mexico",15222.82,10.87,36.45%,0.80%,1.22,12.26%,85.45%,1.89,9841.32
"D","Dominion Energy Inc","Utilities","Utilities - Regulated Electric","USA",52601.06,20.96,83.58%,4.13%,7.19,2.98%,6.57%,2.90,4898.08
"TBBB","BBB Foods Inc","Consumer Defensive","Discount Stores","Mexico",3651.88,,53.53%,4.70%,5.13,28.15%,-2.93%,1.91,568.11
