"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"BNAI","Brand Engagement Network Inc","Technology","Software - Infrastructure","USA",27.95,,6.78%,0.22%,0.01,84.74%,-34.98%,1.00,6484.45
"BURU","Nuburu Inc","Industrials","Specialty Industrial Machinery","USA",67.47,,0.56%,9.72%,0.14,61.52%,-49.47%,,90272.87
"ASNS","Actelis Networks Inc","Technology","Communication Equipment","USA",10.54,,0.99%,3.25%,0.05,5.85%,-55.59%,1.00,9996.90
"NUKK","Nukkleus Inc","Technology","Software - Application","USA",65.33,0.46,3.04%,36.22%,0.38,19.04%,290.76%,,4320.36
"CAN","Canaan Inc ADR","Technology","Computer Hardware","Singapore",562.53,,17.31%,14.74%,0.83,29.31%,23.04%,1.33,47687.04
"LPTX","Leap Therapeutics Inc","Healthcare","Biotechnology","USA",28.96,,20.37%,2.82%,0.29,111.72%,-70.88%,3.00,3239.99
"ACET","Adicet Bio Inc","Healthcare","Biotechnology","USA",77.38,,42.74%,7.28%,4.95,19.37%,-35.01%,1.25,966.93
"MNTS","Momentus Inc","Industrials","Aerospace & Defense","USA",17.00,,8.02%,8.62%,0.15,19.75%,-74.85%,1.00,6241.17
"RVSN","Rail Vision Ltd","Industrials","Railroads","Israel",34.07,,0.85%,0.25%,0.02,89.46%,24.29%,1.00,5156.41
