"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"MCRB","Seres Therapeutics Inc","Healthcare","Biotechnology","USA",153.74,,12.90%,15.64%,5.74,108.55%,-16.38%,1.67,176.43
"MYPS","PLAYSTUDIOS Inc","Communication Services","Electronic Gaming & Multimedia","USA",132.86,,31.61%,0.46%,1.44,-23.19%,-29.33%,2.20,277.54
"NCSM","NCS Multistage Holdings Inc","Energy","Oil & Gas Equipment & Services","USA",123.64,10.20,14.72%,0.68%,0.37,52.02%,134.85%,1.00,12.12
"DKL","Delek Logistics Partners LP","Energy","Oil & Gas Refining & Marketing","USA",2454.52,15.55,21.09%,2.97%,7.74,7.04%,4.27%,2.00,72.12
"BIPC","Brookfield Infrastructure Corp","Utilities","Utilities - Regulated Gas","USA",5390.69,,62.33%,5.64%,11.73,-1.80%,-3.54%,3.00,572.08
"EIX","Edison International","Utilities","Utilities - Regulated Electric","USA",21296.71,8.13,91.16%,2.16%,2.31,7.69%,-34.27%,2.00,3587.12
"MO","Altria Group Inc","Consumer Defensive","Tobacco","USA",108974.54,12.54,62.03%,2.15%,4.19,8.28%,29.15%,2.82,8626.98
"VICI","VICI Properties Inc","Real Estate","REIT - Diversified","USA",34049.18,12.21,102.27%,2.41%,3.60,-2.68%,-2.68%,1.39,7108.74
"CRMD","CorMedix Inc","Healthcare","Biotechnology","USA",892.99,15.32,44.09%,17.06%,3.45,-27.23%,63.20%,1.29,3440.80
"ALTG","Alta Equipment Group Inc","Industrials","Rental & Leasing Services","USA",242.60,,52.95%,4.47%,3.17,27.01%,12.48%,2.00,275.83
"FE","Firstenergy Corp","Utilities","Utilities - Regulated Electric","USA",25290.29,19.34,92.23%,4.23%,6.40,8.12%,1.32%,2.35,3812.36
"BIP","Brookfield Infrastructure Partners L.P","Utilities","Utilities - Diversified","Bermuda",20567.72,1625.26,57.47%,0.12%,1.06,-4.89%,-5.96%,1.50,503.37
"AGNC","AGNC Investment Corp","Real Estate","REIT - Mortgage","USA",10219.40,30.21,43.74%,5.81%,2.97,5.37%,-7.10%,1.71,20241.81
"O","Realty Income Corp","Real Estate","REIT - Retail","USA",54447.16,58.10,79.15%,3.83%,6.45,2.71%,-1.50%,2.50,5420.69
"ERJ","Embraer S.A. ADR","Industrials","Aerospace & Defense","Brazil",11135.44,29.53,44.42%,1.94%,1.80,14.07%,74.48%,1.50,1971.82
"BGFV","Big 5 Sporting Goods Corp","Consumer Cyclical","Specialty Retail","USA",32.09,,14.84%,6.23%,6.06,15.70%,-30.69%,3.00,218.16
"NCLH","Norwegian Cruise Line Holdings Ltd","Consumer Cyclical","Travel Services","USA",11556.03,18.40,78.87%,5.56%,1.58,31.80%,26.52%,1.84,15780.39
"FDL","First Trust Morningstar Dividend Leaders Index Fund","Financial","Exchange Traded Fund","USA",,,,,0.28,3.24%,4.03%,,691.57
"SCHD","Schwab US Dividend Equity ETF","Financial","Exchange Traded Fund","USA",,,,,0.20,2.47%,-3.15%,,16175.34
"WSBF","Waterstone Financial Inc","Financial","Banks - Regional","USA",303.73,14.33,51.19%,0.64%,1.80,18.25%,-0.06%,3.00,54.56
"FITB","Fifth Third Bancorp","Financial","Banks - Regional","USA",29877.59,14.05,87.32%,3.67%,4.77,11.21%,3.44%,1.81,5066.17
"PFE","Pfizer Inc","Healthcare","Drug Manufacturers - General","USA",137192.32,12.84,66.92%,1.82%,2.42,-0.74%,-18.64%,2.48,42670.69
"MPLX","MPLX LP","Energy","Oil & Gas Midstream","USA",51085.78,11.90,21.24%,2.14%,5.95,-3.30%,13.60%,2.06,1315.57
"TXNM","TXNM Energy Inc","Utilities","Utilities - Regulated Electric","USA",5995.01,29.29,101.85%,4.60%,4.08,0.65%,32.21%,3.00,1175.06
