"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"HBIO","Harvard Bioscience Inc","Healthcare","Medical Instruments & Supplies","USA",27.44,,44.21%,1.52%,0.10,22.04%,-73.77%,2.00,5995.64
"MTVA","MetaVia Inc","Healthcare","Biotechnology","USA",26.14,,1.18%,0.22%,0.01,74.90%,-57.98%,1.00,1639.25
"EPOW","Sunrise New Energy Co. Ltd","Industrials","Electrical Equipment & Parts","China",7.84,,0.10%,3.20%,0.30,35.46%,26.96%,,1827.38
"EM","Smart Share Global Ltd ADR","Consumer Cyclical","Personal Services","China",298.84,,9.67%,0.03%,0.07,16.95%,94.37%,1.00,1020.05
"GRNQ","Greenpro Capital Corp","Industrials","Consulting Services","Malaysia",12.16,,1.42%,0.23%,0.04,-10.37%,61.54%,3.00,269.95
"RDZN","Roadzen Inc","Technology","Software - Application","USA",116.31,,5.09%,1.53%,1.54,28.57%,56.12%,1.00,448.17
"POWW","Outdoor Holding Co","Industrials","Aerospace & Defense","USA",187.38,,50.48%,4.98%,8.56,35.59%,48.15%,2.00,513.71
"IRWD","Ironwood Pharmaceuticals Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",303.75,,89.73%,3.01%,3.41,132.30%,-52.66%,3.00,1378.99
"RDGT","Ridgetech Inc","Healthcare","Pharmaceutical Retailers","China",11.18,,0.79%,1.70%,2.48,62.69%,-21.38%,,25.27
"CIG","Cia Energetica DE Minas Gerais - Cemig ADR","Utilities","Utilities - Diversified","Brazil",4074.73,5.33,7.61%,0.07%,0.50,14.44%,14.96%,2.56,2483.51
"IRD","Opus Genetics Inc","Healthcare","Biotechnology","USA",130.00,,23.09%,1.19%,0.86,97.27%,80.83%,1.00,361.24
"RANI","Rani Therapeutics Holdings Inc","Healthcare","Biotechnology","USA",171.05,,32.79%,0.30%,0.01,332.96%,3.93%,1.00,16004.75
"ABEV","Ambev S.A. ADR","Consumer Defensive","Beverages - Brewers","Brazil",37265.36,14.65,7.51%,0.78%,3.07,5.75%,11.79%,2.89,39503.17
