"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"OPEN","Opendoor Technologies Inc","Real Estate","Real Estate Services","USA",7379.51,,36.48%,21.11%,0.69,92.54%,355.29%,3.50,240093.18
"GOGO","Gogo Inc","Communication Services","Telecom Services","USA",955.72,,60.19%,25.09%,11.15,-36.53%,-13.77%,2.00,1740.20
"NVAX","Novavax, Inc","Healthcare","Biotechnology","USA",1085.49,3.78,60.68%,32.58%,10.03,-11.87%,-16.92%,2.50,4816.27
"SG","Sweetgreen Inc","Consumer Cyclical","Restaurants","USA",769.27,,80.69%,25.18%,4.02,-28.11%,-84.25%,2.43,6244.53
"MPW","Medical Properties Trust Inc","Real Estate","REIT - Healthcare Facilities","USA",3212.01,,56.17%,31.13%,18.30,20.81%,25.94%,3.30,8443.84
"SVRA","Savara Inc","Healthcare","Biotechnology","USA",1062.10,,37.14%,20.70%,10.90,58.66%,61.11%,1.00,1632.54
"ABEO","Abeona Therapeutics Inc","Healthcare","Biotechnology","USA",251.99,3.99,62.41%,21.04%,6.73,-32.61%,-19.69%,1.00,1537.72
"UAA","Under Armour Inc","Consumer Cyclical","Apparel Manufacturing","USA",1836.94,,39.63%,27.46%,4.80,-12.13%,-52.07%,2.93,10772.12
"CTMX","CytomX Therapeutics Inc","Healthcare","Biotechnology","USA",676.51,9.55,65.28%,22.47%,8.08,92.88%,360.78%,1.38,3557.17
"SNBR","Sleep Number Corp","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",90.03,,87.12%,46.29%,12.41,-62.77%,-68.02%,3.00,616.49
"DBI","Designer Brands Inc","Consumer Cyclical","Footwear & Accessories","USA",184.80,,71.74%,23.18%,9.37,-1.58%,-23.72%,3.00,851.50
"EVGO","EVgo Inc","Consumer Cyclical","Specialty Retail","USA",920.87,,68.96%,25.46%,8.06,-25.81%,-52.16%,1.44,4038.52
"ABSI","Absci Corp","Healthcare","Biotechnology","USA",446.36,,65.07%,22.40%,5.76,16.41%,16.41%,1.00,5276.54
"IOVA","Iovance Biotherapeutics Inc","Healthcare","Biotechnology","USA",1000.36,,47.09%,28.65%,6.91,4.13%,-69.42%,2.08,13809.26
"CRDF","Cardiff Oncology Inc","Healthcare","Biotechnology","USA",142.80,,31.32%,23.26%,16.27,-2.30%,-15.20%,1.25,876.18
