"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"GETY","Getty Images Holdings Inc","Communication Services","Internet Content & Information","USA",1290.06,,27.64%,8.77%,15.24,77.71%,-22.64%,2.33,668.74
"AXTI","AXT Inc","Technology","Semiconductor Equipment & Materials","USA",387.42,,31.37%,2.76%,0.80,298.08%,188.64%,1.00,1465.94
"METC","Ramaco Resources Inc","Basic Materials","Coking Coal","USA",2018.89,,42.02%,15.71%,1.80,54.82%,262.33%,1.43,3594.91
"OMI","Owens & Minor, Inc","Healthcare","Medical Distribution","USA",430.25,,105.41%,11.35%,3.87,-19.28%,-56.69%,2.67,2171.85
"TALK","Talkspace Inc","Healthcare","Health Information Services","USA",522.31,192.52,48.64%,4.18%,4.15,32.16%,-1.92%,1.29,1417.34
"BJRI","BJ's Restaurant Inc","Consumer Cyclical","Restaurants","USA",674.78,25.65,96.74%,10.34%,3.86,-10.92%,-18.97%,2.78,541.85
"BGL","Blue Gold Ltd","Basic Materials","Gold","Cayman Islands",209.15,101.36,1.39%,4.49%,0.75,-44.37%,-38.85%,,136.74
"EOSE","Eos Energy Enterprises Inc","Industrials","Electrical Equipment & Parts","USA",4195.07,,49.37%,30.67%,4.40,141.94%,335.50%,2.22,18754.82
"AEVA","Aeva Technologies Inc","Technology","Software - Infrastructure","USA",918.14,,56.29%,25.16%,3.41,6.47%,287.17%,1.40,2504.28
"PACK","Ranpak Holdings Corp","Consumer Cyclical","Packaging & Containers","USA",405.85,,76.92%,4.23%,4.05,35.88%,-18.20%,1.67,802.84
"CLVT","Clarivate Plc","Technology","Information Technology Services","United Kingdom",2222.42,,62.04%,8.31%,9.69,-8.70%,-48.55%,2.78,3942.09
"RIOT","Riot Platforms Inc","Financial","Capital Markets","USA",8057.78,,60.51%,17.01%,1.72,90.89%,100.55%,1.06,33857.06
"DMRC","Digimarc Corporation","Technology","Software - Application","USA",209.02,,67.78%,9.56%,7.89,-18.51%,-70.28%,2.00,198.30
"PERI","Perion Network Ltd","Communication Services","Internet Content & Information","Israel",426.86,,51.94%,1.43%,1.94,-12.81%,14.47%,2.00,311.89
"NBR","Nabors Industries Ltd","Energy","Oil & Gas Drilling","Bermuda",797.86,5.25,135.52%,25.53%,4.71,58.93%,-30.76%,3.29,472.77
"RRC","Range Resources Corp","Energy","Oil & Gas E&P","USA",8420.70,14.92,95.98%,5.61%,4.50,1.80%,14.65%,2.37,2910.45
"PRE","Prenetics Global Limited","Healthcare","Diagnostics & Research","Hong Kong",204.68,,5.73%,0.32%,0.27,85.67%,208.07%,1.00,113.67
"DNA","Ginkgo Bioworks Holdings Inc","Healthcare","Biotechnology","USA",728.29,,61.98%,16.41%,4.16,-9.54%,53.59%,3.75,1598.99
"PBF","PBF Energy Inc","Energy","Oil & Gas Refining & Marketing","USA",4091.84,,85.00%,20.24%,4.79,51.98%,21.62%,3.64,3488.61
"OUST","Ouster Inc","Technology","Electronic Components","USA",1908.07,,47.42%,10.52%,1.93,38.14%,364.80%,1.33,2846.04
"TYGO","Tigo Energy Inc","Technology","Solar","USA",134.77,,14.13%,0.61%,0.33,66.67%,72.27%,1.00,563.20
"TROX","Tronox Holdings plc","Basic Materials","Chemicals","USA",580.20,,74.29%,17.10%,4.25,15.09%,-69.73%,2.40,4696.62
"BBNX","Beta Bionics Inc","Healthcare","Medical Devices","USA",1201.87,,88.49%,12.57%,5.15,66.26%,,1.20,810.25
"COHU","Cohu, Inc","Technology","Semiconductor Equipment & Materials","USA",1143.70,,93.98%,6.82%,4.05,29.84%,-7.72%,1.40,763.53
"UPBD","Upbound Group Inc","Technology","Software - Application","USA",1140.00,10.99,92.67%,7.40%,5.00,-7.25%,-26.33%,1.38,774.21
"NMRK","Newmark Group Inc","Real Estate","Real Estate Services","USA",3246.11,43.07,61.14%,2.33%,2.59,18.52%,23.21%,1.33,1363.59
"RRR","Red Rock Resorts Inc","Consumer Cyclical","Resorts & Casinos","USA",5766.17,19.35,83.32%,6.59%,4.34,-7.70%,2.11%,1.86,721.82
"UXIN","Uxin Ltd ADR","Consumer Cyclical","Auto & Truck Dealerships","China",528.92,,0.15%,0.17%,1.49,-29.67%,-36.77%,2.00,229.57
"BTU","Peabody Energy Corp","Energy","Thermal Coal","USA",3192.00,25.64,100.73%,15.87%,3.43,56.90%,5.29%,1.57,5265.26
"LXU","LSB Industries, Inc","Basic Materials","Chemicals","USA",604.26,,59.12%,3.59%,4.37,8.11%,-0.24%,1.80,399.26
"AR","Antero Resources Corp","Energy","Oil & Gas E&P","USA",9393.48,17.44,86.48%,4.36%,2.74,-7.78%,10.36%,1.65,4576.12
"CCEC","Capital Clean Energy Carriers Corp","Industrials","Marine Shipping","Greece",1230.88,6.57,0.62%,0.85%,4.67,-7.17%,9.68%,1.83,12.37
"LKQ","LKQ Corp","Consumer Cyclical","Auto Parts","USA",8122.75,11.60,105.54%,3.81%,2.99,6.94%,-15.52%,1.70,3261.94
"CGNX","Cognex Corp","Technology","Scientific & Technical Instruments","USA",7018.18,64.99,98.35%,2.68%,2.18,0.89%,2.96%,2.08,2055.17
"UTZ","Utz Brands Inc","Consumer Defensive","Packaged Foods","USA",1494.76,51.39,94.09%,9.28%,6.98,-23.20%,-35.76%,1.64,926.02
"BUD","Anheuser-Busch InBev SA/NV ADR","Consumer Defensive","Beverages - Brewers","Belgium",105030.11,17.30,6.19%,0.60%,4.35,4.30%,-5.11%,1.37,2383.18
"FOX","Fox Corporation","Communication Services","Entertainment","USA",27955.86,12.12,28.13%,2.68%,2.26,14.34%,53.42%,2.13,1760.69
"ALIT","Alight Inc","Technology","Software - Application","USA",1526.19,,97.06%,5.79%,3.19,-44.83%,-60.25%,1.29,8435.41
"JOBY","Joby Aviation Inc","Industrials","Airports & Air Services","USA",14822.50,,31.41%,12.38%,1.44,-18.00%,233.74%,3.25,41847.93
"ACHR","Archer Aviation Inc","Industrials","Aerospace & Defense","USA",7138.89,,51.67%,13.90%,1.72,6.11%,229.39%,1.43,43983.08
"UPWK","Upwork Inc","Communication Services","Internet Content & Information","USA",2184.03,9.46,89.33%,9.38%,3.72,36.79%,21.55%,1.73,3100.10
"COLB","Columbia Banking System, Inc","Financial","Banks - Regional","USA",7859.50,10.43,70.85%,3.27%,1.96,10.01%,-8.27%,2.38,4958.83
"OWL","Blue Owl Capital Inc","Financial","Asset Management","USA",24807.56,287.95,89.61%,9.12%,5.35,-17.26%,-31.20%,1.47,10184.81
"NGD","New Gold Inc","Basic Materials","Gold","Canada",5881.86,23.78,56.62%,2.15%,0.99,68.47%,155.31%,1.80,16468.15
"FSUN","Firstsun Capital Bancorp","Financial","Banks - Regional","USA",941.38,10.68,32.13%,5.86%,4.47,-2.37%,-15.34%,1.25,158.44
"ENPH","Enphase Energy Inc","Technology","Solar","USA",3974.21,21.01,96.50%,21.64%,3.36,-4.17%,-63.44%,3.13,8102.85
"NI","NiSource Inc","Utilities","Utilities - Regulated Gas","USA",20256.95,22.42,97.46%,2.21%,2.32,-2.03%,23.33%,2.00,4457.06
"UBS","UBS Group AG","Financial","Banks - Diversified","Switzerland",121315.82,17.22,45.17%,0.32%,5.21,2.49%,18.49%,2.55,1804.41
"TEX","Terex Corp","Industrials","Farm & Heavy Construction Machinery","USA",3115.34,17.71,102.93%,6.48%,4.94,-4.00%,-12.48%,2.70,839.57
"GEL","Genesis Energy L.P","Energy","Oil & Gas Midstream","USA",1971.68,,72.59%,5.46%,13.82,-5.52%,24.04%,1.33,348.86
"CDE","Coeur Mining Inc","Basic Materials","Gold","USA",11431.48,26.10,80.47%,3.31%,1.34,93.27%,155.01%,1.33,15614.84
"RIG","Transocean Ltd","Energy","Oil & Gas Drilling","Switzerland",4326.90,,56.38%,16.18%,3.55,39.86%,0.26%,2.41,41425.49
"RITM","Rithm Capital Corporation","Real Estate","REIT - Mortgage","USA",5854.42,8.54,51.34%,1.89%,1.69,-9.58%,3.18%,1.00,5897.14
"NWE","NorthWestern Energy Group Inc","Utilities","Utilities - Regulated Electric","USA",3700.32,17.07,98.93%,1.36%,2.05,10.18%,12.55%,2.50,405.89
"CGAU","Centerra Gold Inc","Basic Materials","Gold","Canada",2409.22,7.20,89.80%,1.53%,1.60,64.81%,62.11%,2.17,1901.90
"VFC","VF Corp","Consumer Cyclical","Apparel Manufacturing","USA",5513.13,62.32,94.75%,8.12%,3.59,12.16%,-34.77%,2.76,8285.35
"UAA","Under Armour Inc","Consumer Cyclical","Apparel Manufacturing","USA",1918.35,19.77,45.59%,24.30%,3.63,-32.34%,-47.71%,2.93,12611.85
"GCI","Gannett Co Inc","Communication Services","Publishing","USA",771.21,8.10,77.13%,13.44%,9.06,26.14%,-7.39%,2.20,1775.95
"AMSF","Amerisafe Inc","Financial","Insurance - Specialty","USA",759.63,15.32,97.62%,0.79%,1.26,-10.45%,-23.16%,2.50,116.61
"EPR","EPR Properties","Real Estate","REIT - Specialty","USA",3729.71,21.37,80.15%,6.39%,4.89,-10.78%,4.94%,2.46,973.15
"JHG","Janus Henderson Group plc","Financial","Asset Management","United Kingdom",6710.20,16.21,92.21%,1.63%,1.94,-0.35%,4.90%,2.45,1302.46
