"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"AP","Ampco-Pittsburgh Corp","Industrials","Metal Fabrication","USA",48.15,,47.56%,0.96%,2.54,-27.08%,28.80%,3.00,58.53
"NEWP","New Pacific Metals Corp","Basic Materials","Other Precious Metals & Mining","Canada",492.69,,16.91%,1.87%,4.10,67.37%,85.24%,2.00,461.98
"UROY","Uranium Royalty Corp","Energy","Uranium","Canada",663.52,,21.12%,8.33%,2.71,89.50%,90.96%,2.00,3465.39
"USAS","Americas Gold and Silver Corp","Basic Materials","Other Industrial Metals & Mining","Canada",1382.73,,32.44%,0.79%,0.95,113.84%,386.70%,1.00,1698.08
"BDTX","Black Diamond Therapeutics Inc","Healthcare","Biotechnology","USA",245.45,18.21,58.24%,14.61%,6.64,37.73%,23.88%,1.12,953.71
"DNN","Denison Mines Corp","Energy","Uranium","Canada",2949.65,,55.73%,11.23%,1.24,53.74%,70.47%,1.08,80191.47
"BLRX","Bioline Rx Ltd ADR","Healthcare","Biotechnology","Israel",17.33,,1.52%,4.39%,4.68,-10.88%,-78.37%,1.00,40.62
"ZNTL","Zentalis Pharmaceuticals Inc","Healthcare","Biotechnology","USA",118.74,,69.78%,7.59%,6.24,16.74%,-44.39%,2.11,707.15
"VG","Venture Global Inc","Energy","Oil & Gas Midstream","USA",22958.66,17.77,17.36%,6.84%,3.82,-40.53%,,2.00,8067.73
"PSNL","Personalis Inc","Healthcare","Diagnostics & Research","USA",781.78,,43.42%,15.67%,8.56,42.42%,92.91%,1.25,971.21
"NEOG","Neogen Corp","Healthcare","Diagnostics & Research","USA",1334.22,,111.14%,10.86%,3.77,29.54%,-56.21%,2.60,6222.37
"FTCI","FTC Solar Inc","Technology","Solar","USA",135.22,,4.57%,13.31%,13.33,80.00%,88.59%,2.33,84.19
"CMCM","Cheetah Mobile Inc ADR","Communication Services","Internet Content & Information","China",83.92,,3.58%,0.10%,0.17,51.97%,88.37%,1.50,61.86
"SKIN","Beauty Health Company","Consumer Defensive","Household & Personal Products","USA",194.68,,58.96%,22.76%,16.24,-3.46%,-2.23%,3.22,1069.94
"SGMT","Sagimet Biosciences Inc","Healthcare","Biotechnology","USA",243.36,,29.59%,10.45%,4.46,-16.58%,51.25%,1.00,611.80
"ANIX","Anixa Biosciences Inc","Healthcare","Biotechnology","USA",151.42,,16.34%,1.38%,2.78,33.72%,50.82%,1.00,155.16
"UPLD","Upland Software Inc","Technology","Software - Application","USA",74.52,,50.50%,2.07%,1.03,32.82%,9.75%,1.00,413.93
"TOUR","Tuniu Corp ADR","Consumer Cyclical","Travel Services","China",92.92,23.79,8.29%,0.15%,0.60,-1.52%,-28.00%,1.00,261.23
"ARAY","Accuray Inc","Healthcare","Medical Devices","USA",209.58,,60.10%,2.92%,3.77,39.27%,3.29%,1.00,836.29
"PACB","Pacific Biosciences of California Inc","Healthcare","Medical Devices","USA",536.16,,56.84%,14.26%,5.24,30.29%,-12.93%,2.27,7245.83
"MGTX","MeiraGTx Holdings plc","Healthcare","Biotechnology","USA",671.73,,56.58%,6.52%,9.13,-3.13%,79.96%,1.00,411.40
"NXE","NexGen Energy Ltd","Energy","Uranium","Canada",5489.42,,57.24%,18.55%,11.57,38.47%,31.64%,1.07,8521.75
"GGR","Gogoro Inc","Consumer Cyclical","Auto Manufacturers","Taiwan",68.45,,5.47%,0.92%,4.19,-32.56%,-60.14%,3.00,21.91
"ENTX","Entera Bio Ltd","Healthcare","Biotechnology","Israel",110.96,,22.36%,0.16%,0.32,18.54%,36.52%,1.00,161.93
"APPS","Digital Turbine Inc","Technology","Software - Application","USA",804.13,,60.36%,11.20%,2.94,38.17%,111.39%,2.00,3564.91
"QUIK","Quicklogic Corp","Technology","Semiconductors","USA",118.44,,34.38%,6.64%,4.94,17.43%,-20.42%,1.00,197.17
"WVE","Wave Life Sciences Ltd","Healthcare","Biotechnology","Singapore",1304.96,,83.66%,12.46%,7.77,-1.68%,-6.07%,1.19,2038.84
"ATAI","ATAI Life Sciences N.V","Healthcare","Biotechnology","Netherlands",1412.03,,12.55%,10.30%,2.62,87.00%,449.09%,1.00,6151.88
"TRDA","Entrada Therapeutics Inc","Healthcare","Biotechnology","USA",238.57,,51.39%,3.63%,3.05,0.19%,-64.82%,1.00,266.76
"BTCM","BIT Mining Ltd ADR","Technology","Information Technology Services","USA",51.15,,1.19%,2.34%,0.51,-22.90%,36.69%,3.00,727.51
"RAVE","Rave Restaurant Group Inc","Consumer Cyclical","Restaurants","USA",40.29,15.23,20.28%,0.31%,0.65,3.85%,6.18%,3.00,38.74
"CBUS","Cibus Inc","Healthcare","Biotechnology","USA",90.05,,24.11%,3.80%,3.58,-1.19%,-52.97%,1.50,357.24
