"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"SSP","E.W. Scripps Co","Communication Services","Broadcasting","USA",403.34,,62.01%,5.21%,3.33,46.99%,130.56%,2.60,997.57
"TGNA","TEGNA Inc","Communication Services","Broadcasting","USA",3140.60,9.21,94.59%,6.45%,4.64,-7.58%,5.29%,3.00,2211.88
"LUV","Southwest Airlines Co","Industrials","Airlines","USA",17314.35,51.02,100.15%,6.57%,3.72,0.87%,5.32%,3.00,9024.69
"ALK","Alaska Air Group Inc","Industrials","Airlines","USA",4697.54,32.50,89.34%,6.96%,2.43,-34.51%,-22.56%,1.31,3304.76
"ULCC","Frontier Group Holdings Inc","Industrials","Airlines","USA",890.62,,44.95%,32.15%,6.83,-18.79%,-29.91%,2.92,3983.39
"AAL","American Airlines Group Inc","Industrials","Airlines","USA",8686.73,15.82,70.26%,10.72%,1.00,0.23%,-7.32%,2.21,69709.60
"GRND","Grindr Inc","Technology","Software - Application","USA",2255.61,,19.28%,32.32%,4.27,-21.58%,-18.22%,1.40,2477.85
"HPE","Hewlett Packard Enterprise Co","Technology","Communication Equipment","USA",27919.56,26.72,89.87%,3.56%,1.49,-6.91%,-2.67%,2.26,31292.15
"JBLU","Jetblue Airways Corp","Industrials","Airlines","USA",1534.86,,69.13%,22.47%,3.31,-20.23%,-31.38%,3.69,19994.18
"DAL","Delta Air Lines, Inc","Industrials","Airlines","USA",39641.37,8.56,82.11%,2.64%,2.07,-0.90%,-4.15%,1.44,8308.61
