"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"OLMA","Olema Pharmaceuticals Inc","Healthcare","Biotechnology","USA",1511.20,,86.06%,15.80%,2.99,282.12%,155.04%,1.00,2802.41
"AVX","AVAX One Technology Ltd","Financial","Asset Management","Canada",153.64,,48.44%,,0.14,-43.69%,-95.69%,1.00,2403.61
"NEXN","Nexxen International Ltd","Communication Services","Advertising Agencies","Israel",414.19,10.61,44.54%,3.17%,2.77,-36.18%,-28.13%,1.33,434.63
"BRBR","Bellring Brands Inc","Consumer Defensive","Packaged Foods","USA",3566.23,17.76,100.72%,5.79%,2.14,-25.33%,-59.40%,1.53,3365.44
"DDC","DDC Enterprise Ltd","Consumer Defensive","Packaged Foods","Hong Kong",108.34,,0.45%,0.18%,0.37,-64.86%,-9.04%,1.00,106.91
"HBB","Hamilton Beach Brands Holding Co","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",193.17,6.15,30.61%,3.63%,8.05,-4.96%,-28.72%,3.00,23.55
"CENT","Central Garden & Pet Co","Consumer Defensive","Packaged Foods","USA",1783.02,14.04,14.98%,7.45%,8.37,-15.89%,-16.80%,1.67,73.28
"EIX","Edison International","Utilities","Utilities - Regulated Electric","USA",22348.44,7.60,90.39%,1.90%,2.33,4.46%,-30.92%,2.47,3117.84
"CENTA","Central Garden & Pet Co","Consumer Defensive","Packaged Foods","USA",1779.94,12.66,78.56%,2.21%,3.07,-16.33%,-12.53%,1.67,357.47
"EOSE","Eos Energy Enterprises Inc","Industrials","Electrical Equipment & Parts","USA",3712.56,,54.73%,31.93%,4.07,103.80%,499.07%,2.30,21977.06
