"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"BURU","Nuburu Inc","Industrials","Specialty Industrial Machinery","USA",67.68,,0.56%,9.72%,0.14,76.86%,-56.61%,,94477.10
"RYDE","Ryde Group Ltd","Technology","Software - Application","Singapore",21.46,,0.58%,0.53%,0.05,32.25%,-25.91%,1.00,1838.84
"PHGE","BiomX Inc","Healthcare","Biotechnology","Israel",16.07,,24.44%,1.59%,0.04,51.25%,-37.62%,1.00,4952.52
"RVSN","Rail Vision Ltd","Industrials","Railroads","Israel",32.16,,0.85%,0.25%,0.02,85.46%,16.21%,1.00,5235.54
"HCWC","Healthy Choice Wellness Corp","Consumer Defensive","Packaged Foods","USA",10.01,,,,0.29,83.59%,-67.05%,1.00,476.10
"XPL","Solitario Resources Corp","Basic Materials","Other Industrial Metals & Mining","USA",73.50,,24.34%,0.20%,0.74,25.35%,18.96%,1.00,195.10
"GORO","Gold Resource Corp","Basic Materials","Gold","USA",114.51,,10.45%,1.07%,0.55,34.31%,156.64%,1.00,2589.67
"NXPL","NextPlat Corp","Technology","Software - Application","USA",22.72,,4.46%,1.38%,1.48,9.53%,-21.88%,,128.44
"SOHO","Sotherly Hotels Inc","Real Estate","REIT - Hotel & Motel","USA",36.40,,19.73%,0.99%,0.79,-3.67%,-19.07%,3.00,172.23
"BCAB","BioAtla Inc","Healthcare","Biotechnology","USA",53.44,,15.58%,9.59%,4.83,131.05%,-54.50%,2.33,885.91
"CBAT","CBAK Energy Technology Inc","Industrials","Electrical Equipment & Parts","China",91.30,,2.19%,0.80%,2.84,4.30%,-7.21%,,193.47
"ATXG","Addentax Group Corp","Industrials","Integrated Freight & Logistics","China",12.07,,6.61%,7.40%,1.46,62.10%,44.91%,,547.38
"CLPS","CLPS Inc","Technology","Information Technology Services","Hong Kong",30.63,,0.06%,0.05%,0.56,7.84%,-15.54%,,9.49
"APLT","Applied Therapeutics Inc","Healthcare","Biotechnology","USA",164.17,,61.16%,8.99%,2.52,169.69%,-86.11%,2.25,4472.87
"ONFO","Onfolio Holdings Inc","Communication Services","Internet Content & Information","USA",5.90,,1.83%,5.66%,0.36,4.55%,6.48%,1.00,583.58
"LUCD","Lucid Diagnostics Inc","Healthcare","Medical Devices","USA",161.93,,14.84%,10.51%,4.35,0.85%,46.24%,1.00,1227.11
"PZG","Paramount Gold Nevada Corp","Basic Materials","Gold","USA",98.51,,10.75%,0.68%,0.57,86.79%,204.56%,1.00,591.80
"CISO","CISO Global Inc","Technology","Software - Infrastructure","USA",43.68,,3.90%,1.38%,0.50,31.35%,23.08%,1.00,766.22
"EPOW","Sunrise New Energy Co. Ltd","Industrials","Electrical Equipment & Parts","China",36.17,,0.12%,5.50%,0.43,35.68%,27.62%,,1760.16
"MESA","Mesa Air Group Inc","Industrials","Airlines","USA",59.45,,17.40%,0.88%,2.44,35.24%,18.33%,3.00,115.97
"TROO","TROOPS Inc","Financial","Credit Services","Hong Kong",161.09,,0.18%,0.32%,0.07,60.22%,-32.58%,,1781.50
"RDGT","Ridgetech Inc","Healthcare","Pharmaceutical Retailers","China",8.72,,0.79%,0.26%,0.24,24.17%,-24.37%,,40.30
"OLB","OLB Group Inc","Technology","Software - Infrastructure","USA",13.15,,3.92%,0.59%,0.15,-9.09%,-32.43%,1.00,139.15
"ESLA","Estrella Immunopharma Inc","Healthcare","Biotechnology","USA",55.59,,1.71%,0.25%,0.45,76.28%,66.20%,1.00,58.16
"POWW","Outdoor Holding Co","Industrials","Aerospace & Defense","USA",178.01,,50.60%,4.78%,7.62,39.45%,16.92%,2.00,554.57
"DFLI","Dragonfly Energy Holdings Corp","Industrials","Electrical Equipment & Parts","USA",133.15,,7.10%,,0.29,894.30%,-68.04%,1.00,44455.58
