"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"TE","T1 Energy Inc","Industrials","Electrical Equipment & Parts","USA",837.09,,50.65%,8.48%,1.76,250.88%,150.63%,1.00,6002.21
"MSAI","MultiSensor AI Holdings Inc","Technology","Software - Infrastructure","USA",43.92,,53.88%,0.39%,0.01,53.65%,-35.85%,1.00,10899.40
"WKEY","WISeKey International Holding Ltd ADR","Technology","Semiconductors","Switzerland",29.90,,10.92%,,0.35,172.99%,691.38%,1.00,721.36
"CMBM","Cambium Networks Corp","Technology","Communication Equipment","USA",75.97,,12.87%,11.69%,0.11,252.79%,105.34%,1.00,14683.84
"CSAI","Cloudastructure Inc","Technology","Software - Infrastructure","USA",28.42,,2.97%,2.53%,0.42,-17.22%,,1.00,1056.47
"HTZ","Hertz Global Holdings Inc","Industrials","Rental & Leasing Services","USA",2115.68,,111.73%,18.33%,4.70,27.15%,119.74%,3.70,11634.90
"HBIO","Harvard Bioscience Inc","Healthcare","Medical Instruments & Supplies","USA",24.93,,42.64%,1.52%,0.09,15.92%,-80.17%,2.00,6192.76
"CURR","Currenc Group Inc","Technology","Software - Application","Singapore",264.72,,1.29%,1.38%,0.18,159.64%,80.27%,1.00,808.40
"INTS","Intensity Therapeutics Inc","Healthcare","Biotechnology","USA",27.93,,4.54%,,0.08,58.24%,-85.66%,1.50,29986.12
