"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"RDW","Redwire Corporation","Industrials","Aerospace & Defense","USA",1328.04,,21.38%,10.48%,2.29,-44.22%,42.95%,1.56,4674.43
"CYCU","Cycurion Inc","Technology","Information Technology Services","USA",18.75,,0.09%,7.92%,0.32,-33.42%,-97.65%,,14079.43
"LAZR","Luminar Technologies Inc","Consumer Cyclical","Auto Parts","USA",158.16,,19.33%,20.89%,2.87,-14.50%,-80.63%,3.50,4161.41
"VYNE","VYNE Therapeutics Inc","Healthcare","Biotechnology","USA",8.51,,27.66%,5.96%,0.55,-68.46%,-82.41%,2.50,2408.55
"SRRK","Scholar Rock Holding Corp","Healthcare","Biotechnology","USA",3244.30,,99.02%,22.71%,10.16,1.02%,296.59%,1.08,1655.65
"PUMP","ProPetro Holding Corp","Energy","Oil & Gas Equipment & Services","USA",529.20,,85.71%,15.08%,4.71,-16.69%,-38.15%,2.33,2533.70
"EVEX","Eve Holding Inc","Industrials","Aerospace & Defense","USA",1269.72,,4.81%,5.71%,2.97,-22.57%,41.14%,1.50,977.22
"AESI","Atlas Energy Solutions Inc","Energy","Oil & Gas Equipment & Services","USA",1435.37,89.30,74.23%,23.43%,11.24,-14.45%,-47.94%,2.38,1618.62
"CSX","CSX Corp","Industrials","Railroads","USA",63515.92,20.94,77.11%,1.57%,1.53,4.90%,-2.10%,1.83,19011.07
"UNIT","Uniti Group Inc","Real Estate","REIT - Specialty","USA",1591.15,28.06,63.55%,2.56%,2.31,-4.71%,-24.55%,2.71,2609.85
"QFIN","Qfin Holdings Inc. ADR","Financial","Credit Services","China",4071.38,4.48,72.71%,3.95%,2.49,-31.22%,20.50%,1.08,1881.02
"CZR","Caesars Entertainment Inc","Consumer Cyclical","Resorts & Casinos","USA",5490.97,,106.66%,13.87%,4.00,-10.84%,-36.51%,1.55,6770.12
"CTMX","CytomX Therapeutics Inc","Healthcare","Biotechnology","USA",347.97,3.69,65.38%,21.97%,10.48,-1.40%,80.34%,1.38,2572.37
