"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"PRO","Pros Holdings Inc","Technology","Software - Application","USA",1106.45,,100.94%,12.43%,5.75,63.35%,29.14%,1.29,942.32
"PINC","Premier Inc","Healthcare","Health Information Services","USA",2307.26,128.92,93.75%,14.89%,6.17,27.68%,36.47%,3.22,1953.19
"STKH","Steakholder Foods Ltd ADR","Consumer Defensive","Packaged Foods","Israel",2.73,,2.69%,,0.12,-59.53%,-95.31%,1.00,366.34
"KLC","KinderCare Learning Companies Inc","Consumer Defensive","Education & Training Services","USA",846.95,,26.55%,6.67%,2.54,-26.16%,,1.88,812.61
"UMH","UMH Properties Inc","Real Estate","REIT - Residential","USA",1273.93,112.11,82.15%,2.10%,2.97,-11.08%,-23.64%,1.67,562.77
"REPL","Replimune Group Inc","Healthcare","Biotechnology","USA",253.68,,96.90%,29.01%,1.93,-64.79%,-70.67%,3.00,9599.14
