"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"VFF","Village Farms International Inc","Consumer Defensive","Farm Products","USA",390.88,38.05,16.29%,5.27%,1.82,39.92%,333.75%,1.00,2904.08
"SLDP","Solid Power Inc","Consumer Cyclical","Auto Parts","USA",1508.85,,25.53%,11.77%,1.29,91.25%,575.11%,1.00,14082.73
"ARMP","Armata Pharmaceuticals Inc","Healthcare","Biotechnology","USA",238.21,,2.12%,0.20%,0.09,167.28%,196.17%,1.00,247.24
"PHAR","Pharming Group N.V. ADR","Healthcare","Biotechnology","Netherlands",1158.85,1174.65,1.32%,,0.41,49.69%,103.80%,1.00,12.80
"ARRY","Array Technologies Inc","Technology","Solar","USA",1406.81,,126.59%,25.38%,4.99,63.88%,55.05%,2.04,7630.99
"GEOS","Geospace Technologies Corp","Energy","Oil & Gas Equipment & Services","USA",357.20,,56.57%,6.30%,3.51,82.46%,106.84%,1.00,211.11
"GPCR","Structure Therapeutics Inc ADR","Healthcare","Biotechnology","USA",2005.74,,116.50%,,4.83,85.91%,-9.15%,1.00,1004.07
"RPID","Rapid Micro Biosystems Inc","Healthcare","Medical Devices","USA",145.01,,21.00%,1.43%,3.76,22.39%,187.72%,1.00,85.76
"URGN","UroGen Pharma Ltd","Healthcare","Biotechnology","USA",1145.95,,93.66%,25.98%,9.67,27.51%,100.01%,1.25,1152.45
"MVLL","GraniteShares 2x Long MRVL Daily ETF","Financial","Exchange Traded Fund","USA",,,,,0.02,24.10%,,,821.39
"ZBIO","Zenas Biopharma Inc","Healthcare","Biotechnology","USA",1469.86,,37.71%,43.93%,11.67,119.53%,67.65%,1.00,371.56
"CRGO","Freightos Ltd","Industrials","Integrated Freight & Logistics","Israel",190.16,,19.94%,0.14%,0.57,14.11%,160.27%,1.00,84.55
"CCLD","CareCloud Inc","Healthcare","Health Information Services","USA",149.24,86.49,15.66%,0.77%,0.50,39.13%,47.90%,2.00,552.55
"ZETA","Zeta Global Holdings Corp","Technology","Software - Infrastructure","USA",4763.63,,66.48%,13.18%,3.17,6.85%,-37.87%,1.46,8077.18
