"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"HIMS","Hims & Hers Health Inc","Consumer Defensive","Household & Personal Products","USA",12520.35,69.33,77.79%,36.83%,2.09,-3.07%,281.25%,2.56,35794.70
"SMCI","Super Micro Computer Inc","Technology","Computer Hardware","USA",26853.84,27.23,52.10%,18.61%,2.56,4.22%,9.49%,2.61,37151.29
"GCT","GigaCloud Technology Inc","Technology","Software - Infrastructure","USA",1103.99,8.92,31.27%,12.76%,3.42,59.90%,60.34%,1.50,925.30
"HUT","Hut 8 Corp","Financial","Capital Markets","USA",3436.06,23.07,62.04%,17.10%,2.83,77.34%,211.73%,1.00,5661.58
"NVMI","Nova Ltd","Technology","Semiconductor Equipment & Materials","Israel",8638.69,40.08,78.52%,6.43%,5.67,28.32%,48.13%,1.38,333.88
"CLSK","Cleanspark Inc","Financial","Capital Markets","USA",2914.83,11.81,61.98%,19.51%,2.27,6.80%,17.44%,1.23,23394.03
"APP","Applovin Corp","Communication Services","Advertising Agencies","USA",196374.37,86.25,59.81%,5.96%,2.28,52.55%,573.27%,1.62,5832.49
"LRCX","Lam Research Corp","Technology","Semiconductor Equipment & Materials","USA",148552.26,28.23,85.74%,2.51%,2.88,28.05%,60.44%,1.71,10968.80
"IESC","IES Holdings Inc","Industrials","Engineering & Construction","USA",7540.52,30.85,97.46%,4.10%,5.22,39.39%,155.82%,1.00,150.46
"NVDA","NVIDIA Corp","Technology","Semiconductors","USA",4320418.46,50.60,67.99%,0.84%,1.13,22.62%,64.47%,1.35,174663.95
"ODD","ODDITY Tech Ltd","Technology","Software - Infrastructure","Israel",3523.32,35.22,79.66%,13.02%,5.09,-14.70%,88.19%,1.82,893.97
"NSSC","NAPCO Security Technologies Inc","Industrials","Security & Protection Services","USA",1481.84,34.93,91.19%,7.91%,8.23,47.06%,13.64%,1.33,327.81
