"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"CUPR","Cuprina Holdings (Cayman) Ltd","Healthcare","Medical Instruments & Supplies","Singapore",7.37,,0.57%,2.07%,0.06,-87.08%,,,2349.38
"KITT","Nauticus Robotics Inc","Industrials","Aerospace & Defense","USA",11.95,,3.41%,16.06%,1.67,-74.82%,-83.01%,1.00,515.68
"ABTC","American Bitcoin Corp","Financial","Capital Markets","USA",5515.04,,0.12%,2.44%,1.05,13.46%,104.30%,3.00,4029.16
"PPTA","Perpetua Resources Corp","Basic Materials","Other Precious Metals & Mining","USA",2662.36,,77.11%,10.23%,3.83,59.99%,143.60%,1.00,2853.11
"SURG","Surgepays Inc","Communication Services","Telecom Services","USA",59.05,,7.84%,1.28%,1.38,6.64%,64.20%,2.00,118.89
"SBET","SharpLink Gaming Inc","Consumer Cyclical","Gambling","USA",2867.79,,8.44%,8.25%,0.53,-23.58%,61.57%,1.00,29554.72
"GMHS","Gamehaus Holdings Inc","Communication Services","Electronic Gaming & Multimedia","China",72.31,5.29,0.25%,16.93%,0.13,-14.06%,-87.65%,,3468.06
"HPE","Hewlett Packard Enterprise Co","Technology","Communication Equipment","USA",31844.92,30.48,87.27%,3.36%,1.73,15.76%,24.99%,2.17,25516.64
"VFC","VF Corp","Consumer Cyclical","Apparel Manufacturing","USA",6519.81,76.85,94.89%,8.12%,3.59,34.61%,-2.96%,2.76,8290.50
"MED","Medifast Inc","Consumer Cyclical","Personal Services","USA",140.41,38.76,79.12%,19.92%,12.68,-10.79%,-27.33%,3.00,164.41
"DEC","Diversified Energy Company Plc","Energy","Oil & Gas Integrated","USA",1033.56,,58.54%,5.24%,5.61,-15.24%,14.37%,1.33,419.25
"CRI","Carters Inc","Consumer Cyclical","Apparel Retail","USA",1192.24,8.69,123.76%,9.85%,2.48,27.88%,-50.08%,3.86,1432.01
"VZ","Verizon Communications Inc","Communication Services","Telecom Services","USA",165322.10,9.11,67.57%,2.31%,4.71,-8.19%,-8.52%,2.42,20682.96
"EVO","Evotec SE ADR","Healthcare","Drug Manufacturers - Specialty & Generic","Germany",1467.06,,1.42%,0.16%,11.49,-2.59%,16.34%,2.00,47.24
"BB","BlackBerry Ltd","Technology","Software - Infrastructure","Canada",2839.75,,48.42%,4.31%,2.67,28.27%,94.74%,2.90,9491.83
"CMCSA","Comcast Corp","Communication Services","Telecom Services","USA",108569.34,4.86,85.63%,1.48%,2.26,-10.43%,-29.23%,2.19,24012.79
"DT","Dynatrace Inc","Technology","Software - Application","USA",15223.05,31.07,96.77%,2.55%,2.40,-7.56%,-5.18%,1.55,3168.71
