"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"DJTU","T-REX 2X Long DJT Daily Target ETF","Financial","Exchange Traded Fund","USA",,,,,2.75,-48.02%,,,380.91
"ASIX","AdvanSix Inc","Basic Materials","Chemicals","USA",429.85,8.33,90.87%,2.65%,2.62,-15.45%,-49.50%,1.00,261.24
"LZM","Lifezone Metals Ltd","Basic Materials","Other Industrial Metals & Mining","United Kingdom",314.57,,19.11%,7.93%,13.68,-14.69%,-43.57%,1.00,163.09
"DFDV","DeFi Development Corp","Technology","Software - Infrastructure","USA",260.16,13.86,11.50%,31.20%,1.94,-51.59%,1312.53%,1.00,2510.09
"NOTE","FiscalNote Holdings Inc","Technology","Information Technology Services","USA",45.28,,28.96%,15.21%,6.52,-52.72%,-71.00%,1.00,272.71
"SMCY","YieldMax SMCI Option Income Strategy ETF","Financial","Exchange Traded Fund","USA",,,,,0.97,-31.91%,-55.48%,,1078.98
"STKL","Sunopta, Inc","Consumer Defensive","Beverages - Non-Alcoholic","USA",482.32,,83.29%,3.54%,4.50,-35.95%,-43.80%,1.00,860.10
"VAC","Marriott Vacations Worldwide Corp","Consumer Cyclical","Resorts & Casinos","USA",1674.28,10.81,94.39%,6.62%,4.71,-34.30%,-42.95%,2.20,448.37
"EVH","Evolent Health Inc","Healthcare","Health Information Services","USA",596.94,,109.12%,15.42%,5.60,-42.27%,-79.49%,1.14,3145.45
"ABEO","Abeona Therapeutics Inc","Healthcare","Biotechnology","USA",219.99,6.80,64.93%,20.11%,8.07,-32.76%,-31.69%,1.00,1138.32
"BWMN","Bowman Consulting Group Ltd","Industrials","Engineering & Construction","USA",577.32,34.95,56.81%,1.81%,2.01,-14.44%,41.41%,1.14,125.82
"PRCH","Porch Group Inc","Technology","Software - Application","USA",1140.88,44.84,69.13%,23.80%,7.62,-29.41%,379.90%,1.25,2170.82
"QNTM","Quantum BioPharma Ltd","Healthcare","Biotechnology","Canada",,,,1.04%,0.22,-62.67%,86.13%,1.00,124.10
"ACVA","ACV Auctions Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",946.94,,104.34%,6.97%,3.22,-50.76%,-71.26%,1.64,3554.80
"VOR","Vor Biopharma Inc","Healthcare","Biotechnology","USA",130.05,,20.40%,21.81%,3.36,-42.74%,10.52%,1.75,368.55
"ARLO","Arlo Technologies Inc","Industrials","Building Products & Equipment","USA",1595.72,427.70,93.55%,9.30%,6.77,-17.01%,27.91%,1.40,1402.08
"KMX","Carmax Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",4822.40,9.65,105.83%,9.90%,2.93,-42.04%,-57.31%,3.00,4941.01
"ULTY","YieldMax Ultra Option Income Strategy ETF","Financial","Exchange Traded Fund","USA",,,,,2.30,-24.02%,-55.48%,,36879.45
"XYZY","YieldMax XYZ Option Income Strategy ETF","Financial","Exchange Traded Fund","USA",,,,,0.15,-23.11%,-60.21%,,136.11
"GAIA","Gaia Inc","Communication Services","Entertainment","USA",107.45,,51.62%,1.89%,8.07,-15.93%,-28.44%,1.00,41.67
"NVO","Novo Nordisk ADR","Healthcare","Drug Manufacturers - General","Denmark",155928.24,13.48,8.66%,0.79%,1.74,-7.01%,-56.07%,2.00,15287.68
"THRY","Thryv Holdings Inc","Communication Services","Internet Content & Information","USA",276.28,15.53,105.96%,12.41%,8.28,-52.79%,-59.33%,2.20,608.58
"IGME","Bitwise GME Option Income Strategy ETF","Financial","Exchange Traded Fund","USA",,,,,0.81,-21.75%,,,3.82
"COYY","GraniteShares YieldBOOST COIN ETF","Financial","Exchange Traded Fund","USA",,,,,0.11,-43.57%,,,518.55
"ODD","ODDITY Tech Ltd","Consumer Defensive","Household & Personal Products","Israel",2197.40,21.96,80.71%,11.90%,6.82,-34.61%,-9.39%,1.55,619.17
