"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"TLRY","Tilray Brands Inc","Healthcare","Drug Manufacturers - Specialty & Generic","Canada",2252.99,,9.37%,14.06%,2.15,249.80%,23.07%,2.60,71873.18
"GELS","Gelteq Ltd","Healthcare","Drug Manufacturers - Specialty & Generic","Australia",12.84,,1.12%,5.66%,0.17,-24.86%,,,1266.61
"ZDGE","Zedge Inc","Communication Services","Internet Content & Information","USA",44.99,,17.37%,0.18%,0.36,-13.16%,-7.56%,1.00,54.45
"IREN","IREN Ltd","Financial","Capital Markets","Australia",16799.72,,55.74%,12.26%,0.96,281.76%,642.04%,1.75,32391.87
"SOUN","SoundHound AI Inc","Technology","Software - Application","USA",7860.07,,43.21%,32.43%,1.95,66.64%,306.74%,1.60,60774.06
"BBW","Build A Bear Workshop Inc","Consumer Cyclical","Specialty Retail","USA",788.88,13.47,95.77%,17.28%,6.30,20.71%,70.69%,1.00,339.91
"ACIW","ACI Worldwide Inc","Technology","Software - Infrastructure","USA",5553.28,22.78,99.35%,3.32%,3.85,22.59%,7.24%,1.43,874.78
"HIT","Health In Tech Inc","Technology","Software - Application","USA",200.18,145.49,0.65%,1.24%,0.09,214.16%,,1.00,993.11
"RGTI","Rigetti Computing Inc","Technology","Computer Hardware","USA",14234.09,,38.32%,14.38%,0.74,260.51%,5495.77%,1.12,61590.65
"CFG","Citizens Financial Group Inc","Financial","Banks - Regional","USA",22753.66,16.09,97.50%,2.10%,1.96,10.66%,28.13%,1.40,4570.99
"INTC","Intel Corp","Technology","Semiconductors","USA",176769.40,,62.57%,2.43%,0.86,61.55%,69.12%,3.18,118021.59
"WMB","Williams Cos Inc","Energy","Oil & Gas Midstream","USA",78277.46,32.34,88.03%,1.08%,1.97,10.10%,29.03%,1.92,6668.99
"ZENA","ZenaTech Inc","Technology","Software - Infrastructure","Canada",186.35,,0.71%,7.74%,0.51,12.13%,103.61%,1.00,1624.23
"TDW","Tidewater Inc","Energy","Oil & Gas Equipment & Services","USA",2643.88,13.85,103.32%,10.92%,6.13,1.54%,-24.01%,2.78,827.83
"PSNY","Polestar Automotive Holding UK PLC ADR","Consumer Cyclical","Auto Manufacturers","Sweden",2134.20,,3.08%,1.72%,9.68,-13.32%,-42.92%,3.75,4058.42
"SAR","Saratoga Investment Corp","Financial","Asset Management","USA",357.80,9.16,15.45%,2.99%,3.19,-9.74%,-2.22%,,128.91
"OII","Oceaneering International, Inc","Energy","Oil & Gas Equipment & Services","USA",2445.07,12.31,96.23%,3.35%,4.70,11.26%,-7.47%,2.60,699.83
"ICCM","Icecure Medical Ltd","Healthcare","Medical Devices","Israel",68.52,,0.37%,1.69%,0.26,-4.09%,70.54%,1.00,2245.50
"UE","Urban Edge Properties","Real Estate","REIT - Retail","USA",2608.32,23.69,96.95%,4.73%,5.60,4.18%,-5.85%,2.00,1061.30
"WEN","Wendy's Co","Consumer Cyclical","Restaurants","USA",1716.97,9.40,95.19%,12.52%,3.05,-18.24%,-49.27%,2.69,7090.34
"DRS","Leonardo DRS Inc","Industrials","Aerospace & Defense","USA",12129.92,48.99,25.30%,3.31%,2.32,-4.18%,50.18%,1.55,1058.96
"UNTY","Unity Bancorp, Inc","Financial","Banks - Regional","USA",485.59,9.78,43.96%,1.15%,1.65,-5.34%,47.20%,1.00,46.44
"ET","Energy Transfer LP","Energy","Oil & Gas Midstream","USA",57325.78,12.89,29.49%,0.85%,2.01,-4.35%,2.96%,1.25,12868.33
"BAC","Bank Of America Corp","Financial","Banks - Diversified","USA",369717.78,14.62,75.26%,1.41%,2.95,6.82%,24.91%,1.68,35319.04
"PCG","PG&E Corp","Utilities","Utilities - Regulated Electric","USA",36791.84,15.48,95.99%,1.67%,1.41,24.74%,-15.07%,1.78,25759.43
"HPE","Hewlett Packard Enterprise Co","Technology","Communication Equipment","USA",34437.64,32.96,87.35%,3.54%,2.33,25.97%,25.12%,2.09,19984.56
"CPRX","Catalyst Pharmaceuticals Inc","Healthcare","Biotechnology","USA",2496.77,12.38,81.37%,7.76%,5.65,-6.46%,3.40%,1.14,1532.09
"UNFI","United Natural Foods Inc","Consumer Defensive","Food Distribution","USA",2578.94,,95.72%,8.01%,4.14,78.58%,120.08%,2.36,1142.07
