"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"TNFA","TNF Pharmaceuticals Inc","Healthcare","Biotechnology","USA",9.29,,0.30%,3.37%,0.09,-62.21%,-95.84%,1.00,609.22
"IAS","Integral Ad Science Holding Corp","Communication Services","Advertising Agencies","USA",1693.20,30.41,44.46%,7.81%,6.68,28.02%,-8.69%,2.27,875.23
"IDAI","T Stamp Inc","Technology","Software - Application","USA",8.49,,1.86%,0.72%,0.12,35.77%,2.85%,1.00,116.05
"CLRB","Cellectar Biosciences Inc","Healthcare","Biotechnology","USA",18.45,,3.33%,2.17%,0.45,-27.20%,-90.69%,2.00,143.18
"SMMT","Summit Therapeutics Inc","Healthcare","Biotechnology","USA",15224.73,,13.27%,26.58%,7.33,-3.62%,-15.95%,1.62,4054.24
"AACT","Ares Acquisition Corporation II","Financial","Shell Companies","USA",587.04,36.32,92.19%,0.05%,0.07,-16.02%,-12.25%,,388.74
"INTC","Intel Corp","Technology","Semiconductors","USA",145805.57,,62.62%,2.57%,1.01,40.63%,42.95%,3.09,106428.65
"PPIH","Perma-Pipe International Holdings Inc","Industrials","Building Products & Equipment","USA",191.99,19.06,39.28%,1.32%,0.81,6.63%,82.46%,,117.08
"VRAR","Glimpse Group Inc","Technology","Software - Infrastructure","USA",35.37,,11.98%,1.87%,0.69,34.40%,117.59%,1.00,406.95
"KBR","KBR Inc","Industrials","Engineering & Construction","USA",6378.95,16.89,100.33%,3.08%,2.86,3.02%,-22.13%,1.78,1370.16
"PTON","Peloton Interactive Inc","Consumer Cyclical","Leisure","USA",3364.05,,90.48%,18.99%,5.88,25.76%,68.37%,2.10,12330.54
"AUNA","Auna S.A","Healthcare","Medical Care Facilities","Luxembourg",490.70,7.72,26.59%,0.71%,3.93,5.74%,-10.89%,1.40,41.37
"NCPL","Netcapital Inc","Financial","Capital Markets","USA",11.86,,6.92%,5.86%,0.55,-51.12%,46.95%,1.00,449.95
"SUUN","PowerBank Corporation","Utilities","Utilities - Renewable","Canada",59.03,,7.33%,2.23%,1.68,-1.76%,-49.85%,1.00,316.37
"DPRO","Draganfly Inc","Industrials","Aerospace & Defense","Canada",33.72,,31.33%,34.74%,0.53,118.66%,192.92%,1.00,3540.42
"TASK","TaskUs Inc","Technology","Information Technology Services","USA",1620.46,26.73,16.61%,1.07%,0.55,7.13%,42.76%,3.00,322.48
"CELH","Celsius Holdings Inc","Consumer Defensive","Beverages - Non-Alcoholic","USA",13383.47,143.04,65.80%,10.72%,3.02,14.10%,56.41%,1.72,6203.21
"WBD","Warner Bros. Discovery Inc","Communication Services","Entertainment","USA",49069.80,65.63,71.28%,4.02%,1.32,82.34%,140.53%,2.11,71214.97
"FIS","Fidelity National Information Services, Inc","Technology","Information Technology Services","USA",33500.14,240.10,100.54%,2.60%,3.76,-20.56%,-23.71%,2.00,3606.05
"GV","Visionary Holdings Inc","Consumer Defensive","Education & Training Services","Canada",9.22,,1.82%,5.72%,0.05,18.33%,-26.80%,,2635.96
"VSH","Vishay Intertechnology, Inc","Technology","Semiconductors","USA",2064.97,,98.05%,6.49%,4.90,-2.12%,-17.54%,2.60,1619.26
"FITB","Fifth Third Bancorp","Financial","Banks - Regional","USA",29897.45,14.06,87.33%,3.67%,4.84,11.04%,4.46%,1.81,4996.83
"GAP","Gap, Inc","Consumer Cyclical","Apparel Retail","USA",8485.85,9.83,58.43%,9.38%,2.47,6.57%,12.55%,2.37,9317.31
