"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
140,"SPCE","Virgin Galactic Holdings Inc","Industrials","Aerospace & Defense","USA",190.91,,3.31,5.91%,3537426
141,"SQNS","Sequans Communications S.A ADR","Technology","Semiconductors","France",25.26,,0.99,6.59%,4480585
142,"STLA","Stellantis N.V","Consumer Cyclical","Auto Manufacturers","Netherlands",27409.76,,9.54,9.03%,22997212
143,"STSS","Sharps Technology Inc","Healthcare","Medical Instruments & Supplies","USA",237.31,,9.24,-0.08%,1578177
144,"TASK","TaskUs Inc","Technology","Information Technology Services","USA",1566.09,25.83,17.42,1.49%,510145
145,"TFC","Truist Financial Corporation","Financial","Banks - Regional","USA",58417.86,12.31,45.31,0.41%,4311472
146,"TGLS","Tecnoglass Inc","Basic Materials","Building Materials","Colombia",3443.32,18.84,73.28,2.54%,138752
147,"TMHC","Taylor Morrison Home Corp","Consumer Cyclical","Residential Construction","USA",7005.01,8.18,70.87,1.69%,497384
148,"TRIN","Trinity Capital Inc","Financial","Asset Management","USA",1133.11,7.22,16.11,0.03%,534409
149,"TSCO","Tractor Supply Co","Consumer Cyclical","Specialty Retail","USA",31858.04,29.57,60.12,2.85%,2427752
150,"U","Unity Software Inc","Technology","Software - Application","USA",18392.20,,43.53,1.00%,7043532
151,"UDMY","Udemy Inc","Consumer Defensive","Education & Training Services","USA",1091.54,,7.26,8.85%,1656797
152,"UHT","Universal Health Realty Income Trust","Real Estate","REIT - Healthcare Facilities","USA",581.61,32.39,41.92,2.17%,30568
153,"USB","U.S. Bancorp","Financial","Banks - Regional","USA",76549.12,11.77,49.19,-0.02%,5658141
154,"VICI","VICI Properties Inc","Real Estate","REIT - Diversified","USA",35436.53,12.71,33.23,0.27%,2969445
155,"VITL","Vital Farms Inc","Consumer Defensive","Farm Products","USA",2147.61,42.61,48.06,2.03%,405993
156,"VNET","VNET Group Inc ADR","Technology","Information Technology Services","China",2405.45,467.44,9.11,14.94%,11767244
157,"VUZI","Vuzix Corporation","Technology","Consumer Electronics","USA",179.05,,2.32,1.98%,900700
158,"WERN","Werner Enterprises, Inc","Industrials","Trucking","USA",1715.34,33.47,28.67,3.46%,446456
