"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"ODP","ODP Corporation","Consumer Cyclical","Specialty Retail","USA",834.83,23.02,99.87%,14.48%,8.43,62.28%,-6.85%,1.67,474.72
"BBBY","Bed Bath & Beyond Inc","Consumer Cyclical","Internet Retail","USA",574.61,,58.58%,12.08%,2.28,65.72%,-7.91%,2.33,2987.01
"EBF","Ennis Inc","Industrials","Business Equipment & Supplies","USA",490.10,12.59,82.26%,4.69%,7.41,-0.05%,-11.82%,1.00,153.30
"HL","Hecla Mining Co","Basic Materials","Other Precious Metals & Mining","USA",7637.81,72.84,63.57%,3.47%,0.86,95.88%,74.58%,2.11,25142.08
"PAAS","Pan American Silver Corp","Basic Materials","Gold","Canada",15952.36,26.23,51.47%,3.91%,3.03,30.21%,85.11%,1.67,5438.87
"COSM","Cosmos Health Inc","Healthcare","Medical Distribution","Greece",29.61,,3.33%,2.04%,0.61,133.11%,-11.71%,1.00,723.64
"SRBK","SR Bancorp Inc","Financial","Banks - Regional","USA",127.66,35.33,28.01%,4.87%,6.08,17.25%,44.59%,,60.37
"TSN","Tyson Foods, Inc","Consumer Defensive","Farm Products","USA",18955.56,24.15,71.15%,3.06%,3.27,-1.38%,-12.07%,2.57,2630.81
"NNN","NNN REIT Inc","Real Estate","REIT - Retail","USA",7985.47,20.11,90.99%,2.24%,3.23,-2.58%,-12.67%,3.00,1298.60
"O","Realty Income Corp","Real Estate","REIT - Retail","USA",54208.34,57.84,79.15%,3.83%,6.25,1.57%,-4.28%,2.50,5593.00
"DIV","Global X SuperDividend U.S. ETF","Financial","Exchange Traded Fund","USA",,,,,0.32,-0.73%,-4.66%,,173.90
"GAP","Gap, Inc","Consumer Cyclical","Apparel Retail","USA",8272.87,9.58,58.43%,9.38%,2.47,4.04%,10.60%,2.37,9299.08
"LYB","LyondellBasell Industries NV","Basic Materials","Specialty Chemicals","United Kingdom",16751.45,68.32,73.96%,5.83%,3.22,-9.17%,-44.56%,2.75,4638.08
"SCHD","Schwab US Dividend Equity ETF","Financial","Exchange Traded Fund","USA",,,,,0.21,2.40%,-2.52%,,16125.31
