"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"FTEL","Fitell Corp","Consumer Cyclical","Specialty Retail","Australia",2.92,,0.00%,6.46%,0.02,-84.31%,-99.71%,,1266.20
"KALA","Kala Bio Inc","Healthcare","Biotechnology","USA",10.92,,12.72%,5.86%,0.27,-89.09%,-79.50%,3.00,1720.46
"BYND","Beyond Meat Inc","Consumer Defensive","Packaged Foods","USA",607.79,,24.06%,21.59%,0.51,-43.46%,-74.08%,3.86,181106.33
"WOLF","Wolfspeed Inc","Technology","Semiconductors","USA",572.48,,86.31%,140.27%,1.89,-85.69%,-97.92%,4.00,3372.72
"NFE","New Fortress Energy Inc","Energy","Oil & Gas Midstream","USA",372.76,,59.98%,36.84%,3.43,-44.26%,-86.95%,2.67,20274.49
"EVEX","Eve Holding Inc","Industrials","Aerospace & Defense","USA",1452.43,,10.50%,6.68%,2.90,4.51%,1.46%,1.67,1314.87
"WWW","Wolverine World Wide, Inc","Consumer Cyclical","Footwear & Accessories","USA",1395.09,16.23,111.09%,8.83%,3.57,-45.69%,-26.03%,1.50,1992.46
"SNPS","Synopsys, Inc","Technology","Software - Infrastructure","USA",81411.78,34.32,92.86%,2.30%,1.41,-25.97%,-20.88%,1.56,2998.29
"ALAB","Astera Labs Inc","Technology","Semiconductors","USA",27901.18,147.07,66.02%,7.98%,1.70,-5.19%,56.61%,1.57,6272.22
"DECK","Deckers Outdoor Corp","Consumer Cyclical","Footwear & Accessories","USA",13411.44,13.65,97.96%,3.40%,1.30,-25.11%,-52.67%,2.18,3781.28
"NWL","Newell Brands Inc","Consumer Defensive","Household & Personal Products","USA",1597.15,,101.27%,10.00%,4.44,-34.76%,-59.21%,2.30,9385.93
"CAVA","Cava Group Inc","Consumer Cyclical","Restaurants","USA",5916.45,43.97,74.72%,16.05%,3.74,-22.21%,-64.46%,1.92,4257.62
"DASH","DoorDash Inc","Consumer Cyclical","Internet Retail","USA",88604.68,104.30,75.05%,3.72%,2.91,-15.78%,14.84%,1.60,4458.64
"GIL","Gildan Activewear Inc","Consumer Cyclical","Apparel Manufacturing","Canada",8586.43,18.38,82.42%,5.84%,7.17,9.88%,16.25%,1.21,1199.56
"REZI","Resideo Technologies Inc","Industrials","Industrial Distribution","USA",5073.84,,88.03%,3.41%,2.33,0.86%,24.05%,1.00,1928.06
"GEO","Geo Group, Inc","Industrials","Security & Protection Services","USA",2245.25,9.52,93.80%,6.70%,4.07,-23.12%,-42.04%,1.00,2176.43
"NXPI","NXP Semiconductors NV","Technology","Semiconductors","Netherlands",50206.54,24.68,93.16%,2.49%,2.47,-14.26%,-12.76%,1.47,2537.11
"OLN","Olin Corp","Basic Materials","Chemicals","USA",2461.60,46.51,91.94%,7.96%,3.42,-8.33%,-48.72%,2.65,2643.30
"ALIT","Alight Inc","Technology","Software - Application","USA",1258.35,,94.85%,5.17%,2.45,-39.95%,-70.57%,1.29,9698.98
"CAI","Caris Life Sciences Inc","Healthcare","Biotechnology","USA",7349.93,,37.37%,4.46%,5.17,-28.75%,,1.00,994.69
