"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"FORD","Forward Industries, Inc","Consumer Cyclical","Footwear & Accessories","USA",50.26,,16.19%,2.01%,0.25,341.84%,710.25%,3.00,98.43
"GLXY","Galaxy Digital Inc","Financial","Capital Markets","USA",5085.29,,62.56%,8.37%,1.68,48.69%,177.22%,1.15,8592.79
"DOMO","Domo Inc","Technology","Software - Application","USA",674.13,,64.96%,8.42%,3.81,20.49%,128.67%,1.67,726.00
"F","Ford Motor Co","Consumer Cyclical","Auto Manufacturers","USA",46783.26,15.00,62.34%,4.22%,2.36,10.27%,12.04%,3.04,69596.21
"HASI","HA Sustainable Infrastructure Capital Inc","Financial","Asset Management","USA",3523.14,18.81,104.65%,9.55%,8.78,4.81%,-12.08%,1.31,1329.08
"TSCO","Tractor Supply Co","Consumer Cyclical","Specialty Retail","USA",31677.86,29.40,98.99%,7.76%,7.86,16.50%,9.56%,2.24,5215.88
"AVR","Anteris Technologies Global Corp","Healthcare","Medical Instruments & Supplies","USA",177.25,,47.50%,2.30%,4.30,-4.00%,,1.00,192.20
"GME","Gamestop Corporation","Consumer Cyclical","Specialty Retail","USA",11077.50,33.83,40.02%,16.20%,5.03,-13.33%,2.04%,4.50,13166.37
"CPHC","Canterbury Park Holding Corp","Consumer Cyclical","Resorts & Casinos","USA",85.32,547.39,26.07%,0.10%,0.47,-4.88%,-20.31%,,5.33
"VITL","Vital Farms Inc","Consumer Defensive","Farm Products","USA",2130.07,42.27,92.90%,23.01%,7.97,48.36%,54.26%,1.00,996.25
"UHT","Universal Health Realty Income Trust","Real Estate","REIT - Healthcare Facilities","USA",574.25,31.98,63.57%,2.14%,4.08,3.01%,-6.57%,3.00,66.73
"SKIN","Beauty Health Company","Consumer Defensive","Household & Personal Products","USA",294.17,,59.06%,21.10%,14.15,45.88%,71.81%,3.50,1101.86
"SCHD","Schwab US Dividend Equity ETF","Financial","Exchange Traded Fund","USA",,,,,0.21,3.15%,0.15%,,15782.72
"CALF","Pacer US Small Cap Cash Cows ETF","Financial","Exchange Traded Fund","USA",,,,,0.26,10.04%,1.00%,,1164.59
"COWZ","Pacer US Cash Cows 100 ETF","Financial","Exchange Traded Fund","USA",,,,,0.08,4.72%,4.26%,,2402.39
"NLY","Annaly Capital Management Inc","Real Estate","REIT - Mortgage","USA",14274.12,22.12,60.02%,2.13%,1.93,15.07%,9.95%,1.62,7060.56
"PFIS","Peoples Financial Services Corp","Financial","Banks - Regional","USA",526.82,15.75,31.73%,1.28%,3.85,7.81%,18.08%,2.00,30.41
"O","Realty Income Corp","Real Estate","REIT - Retail","USA",54652.88,58.32,79.18%,3.83%,6.48,3.49%,-4.53%,2.50,5396.10
"VICI","VICI Properties Inc","Real Estate","REIT - Diversified","USA",35473.21,12.73,102.28%,2.41%,3.74,2.42%,-1.63%,1.39,6849.83
"GSL","Global Ship Lease Inc","Industrials","Marine Shipping","Greece",1115.74,2.91,53.06%,2.16%,2.01,21.58%,34.81%,2.00,348.22
"USB","U.S. Bancorp","Financial","Banks - Regional","USA",76616.49,11.78,82.52%,1.42%,2.06,11.39%,8.78%,2.04,10735.11
