"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"SKYX","SKYX Platforms Corp","Industrials","Electrical Equipment & Parts","USA",195.65,,13.21%,3.69%,4.42,47.01%,36.51%,1.00,580.34
"EWTX","Edgewise Therapeutics Inc","Healthcare","Biotechnology","USA",2426.13,,82.98%,12.68%,10.13,63.69%,-34.90%,1.46,938.11
"BNR","Burning Rock Biotech Ltd ADR","Healthcare","Diagnostics & Research","China",109.38,,15.50%,0.44%,1.16,18.98%,260.12%,1.00,34.49
"LQDA","Liquidia Corp","Healthcare","Biotechnology","USA",2451.97,,71.30%,25.20%,6.72,1.68%,165.15%,1.44,2613.29
"MESA","Mesa Air Group Inc","Industrials","Airlines","USA",67.40,,18.25%,0.85%,2.04,36.44%,71.35%,3.00,135.14
"LAR","Lithium Argentina AG","Basic Materials","Other Industrial Metals & Mining","Switzerland",729.54,,18.20%,8.30%,3.13,36.63%,40.03%,1.82,3107.94
"VFF","Village Farms International Inc","Consumer Defensive","Farm Products","USA",422.22,19.94,16.02%,5.24%,2.02,26.03%,354.49%,1.00,2662.24
"URGN","UroGen Pharma Ltd","Healthcare","Biotechnology","USA",1145.88,,91.37%,26.30%,9.64,26.19%,98.22%,1.25,1170.88
"ZYME","Zymeworks BC Inc","Healthcare","Biotechnology","USA",1422.16,,99.23%,10.34%,10.36,34.23%,8.39%,1.18,727.19
"SND","Smart Sand Inc","Energy","Oil & Gas Equipment & Services","USA",108.86,25.56,25.49%,0.32%,0.92,28.21%,-0.07%,3.00,104.34
"CNTA","Centessa Pharmaceuticals plc ADR","Healthcare","Biotechnology","United Kingdom",3527.18,,57.02%,6.03%,3.65,49.18%,54.35%,1.00,1410.19
