"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"RCT","RedCloud Holdings PLC","Technology","Software - Application","United Kingdom",74.30,,2.44%,0.44%,0.10,21.04%,,1.00,1894.13
"TNFA","TNF Pharmaceuticals Inc","Healthcare","Biotechnology","USA",9.29,,0.30%,3.37%,0.09,-62.21%,-95.84%,1.00,609.22
"EZGO","EZGO Technologies Ltd","Consumer Cyclical","Recreational Vehicles","China",1.27,,3.27%,9.86%,0.15,-34.15%,-83.35%,,3734.04
"USBC","USBC Inc","Technology","Scientific & Technical Instruments","USA",446.36,,0.07%,4.96%,0.74,-43.63%,-89.52%,1.00,775.28
"SDST","Stardust Power Inc","Industrials","Electrical Equipment & Parts","USA",28.93,,2.50%,1.09%,0.06,68.47%,-97.27%,2.00,925.25
"CRE","Cre8 Enterprise Ltd","Industrials","Specialty Business Services","Hong Kong",19.57,23.68,,1.22%,0.07,,,,2259.90
"RAYA","Erayak Power Solution Group Inc","Industrials","Electrical Equipment & Parts","China",14.00,,0.02%,16.77%,0.36,-96.39%,-88.46%,,62389.91
"AUTL","Autolus Therapeutics plc ADR","Healthcare","Biotechnology","United Kingdom",415.18,,53.38%,4.21%,3.45,-32.76%,-58.18%,1.00,2934.35
"FLD","Fold Holdings inc","Financial","Capital Markets","USA",173.60,,15.28%,1.54%,0.24,-19.17%,-65.62%,1.00,693.53
"SLNO","Soleno Therapeutics Inc","Healthcare","Biotechnology","USA",3427.85,,96.49%,16.48%,4.31,-24.82%,24.98%,1.09,1758.66
"ZVRA","Zevra Therapeutics Inc","Healthcare","Biotechnology","USA",502.41,,65.03%,12.43%,4.70,-4.07%,11.04%,1.00,1465.80
"MYO","Myomo Inc","Healthcare","Medical Devices","USA",39.31,,58.57%,4.20%,1.11,-54.78%,-73.26%,1.00,1302.40
"OPTT","Ocean Power Technologies","Industrials","Specialty Industrial Machinery","USA",100.67,,8.56%,7.60%,2.26,11.88%,203.75%,,5482.60
"CYCU","Cycurion Inc","Technology","Information Technology Services","USA",20.41,,0.09%,7.92%,0.32,-19.28%,-97.50%,,14364.04
"BLMN","Bloomin Brands Inc","Consumer Cyclical","Restaurants","USA",632.05,,108.20%,10.28%,3.34,-15.76%,-55.48%,3.08,2558.65
"ELPW","Elong Power Holding Ltd","Industrials","Electrical Equipment & Parts","China",19.97,1.59,0.30%,4.81%,0.14,-69.29%,-96.91%,,2390.69
"NFE","New Fortress Energy Inc","Energy","Oil & Gas Midstream","USA",731.30,,70.54%,25.02%,2.84,12.72%,-72.92%,2.80,16296.23
"KOS","Kosmos Energy Ltd","Energy","Oil & Gas E&P","USA",851.29,,93.71%,11.86%,6.20,-4.30%,-58.22%,1.89,8780.90
"PAA","Plains All American Pipeline LP","Energy","Oil & Gas Midstream","USA",12504.76,19.66,39.47%,2.81%,4.92,-0.95%,0.17%,2.45,2632.94
"LULU","Lululemon Athletica inc","Consumer Cyclical","Apparel Retail","Canada",22169.52,12.27,81.98%,6.33%,1.37,-22.59%,-31.75%,2.74,4767.70
"AESI","Atlas Energy Solutions Inc","Energy","Oil & Gas Equipment & Services","USA",1468.78,91.38,74.06%,23.43%,11.07,-9.46%,-47.62%,2.38,1642.17
