"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"ZBIO","Zenas Biopharma Inc","Healthcare","Biotechnology","USA",1339.11,,37.31%,94.27%,15.47,98.13%,28.28%,1.00,280.32
"IVA","Inventiva ADR","Healthcare","Biotechnology","France",959.86,,2.50%,0.22%,3.59,119.05%,152.75%,1.00,80.36
"ANNX","Annexon Inc","Healthcare","Biotechnology","USA",389.00,,85.73%,10.65%,6.01,48.74%,-51.77%,1.00,1694.29
"TSLR","GraniteShares 2x Long TSLA Daily ETF","Financial","Exchange Traded Fund","USA",,,,,0.58,83.55%,146.40%,,2352.12
"TSLL","Direxion Daily TSLA Bull 2X Shares","Financial","Exchange Traded Fund","USA",,,,,0.42,82.56%,138.09%,,139417.51
"WKEY","WISeKey International Holding Ltd ADR","Technology","Semiconductors","Switzerland",22.03,,9.63%,,1.14,87.35%,407.41%,1.00,223.69
"NUVB","Nuvation Bio Inc","Healthcare","Biotechnology","USA",1730.09,,53.64%,34.21%,12.31,104.88%,116.31%,1.00,6432.06
"OUST","Ouster Inc","Technology","Electronic Components","USA",2143.94,,47.42%,10.52%,1.95,59.72%,374.78%,1.33,2826.97
"PACB","Pacific Biosciences of California Inc","Healthcare","Medical Devices","USA",627.78,,56.82%,12.96%,4.68,35.71%,19.43%,2.27,7366.70
"LCTX","Lineage Cell Therapeutics Inc","Healthcare","Biotechnology","USA",399.63,,43.20%,14.74%,19.63,63.55%,101.08%,1.43,1618.56
"GETY","Getty Images Holdings Inc","Communication Services","Internet Content & Information","USA",891.85,,27.67%,8.77%,15.38,16.85%,-44.87%,2.33,662.56
"COYA","Coya Therapeutics Inc","Healthcare","Biotechnology","USA",108.24,,26.81%,1.81%,2.09,1.09%,-33.30%,1.00,134.33
"CSIQ","Canadian Solar Inc","Technology","Solar","Canada",1028.69,,39.79%,20.55%,5.06,28.00%,28.43%,3.00,1843.11
"AA","Alcoa Corp","Basic Materials","Aluminum","USA",10330.70,9.08,77.92%,4.43%,1.75,31.08%,-4.73%,2.06,6510.00
"ABVE","Above Food Ingredients Inc","Consumer Defensive","Packaged Foods","Canada",240.60,,0.78%,3.63%,0.47,174.85%,790.15%,,3477.20
