"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"TGE","Generation Essentials Group","Financial","Asset Management","France",86.75,,1.29%,1.79%,0.10,-65.77%,,,1323.68
"VVPR","VivoPower International PLC","Technology","Solar","United Kingdom",43.85,,13.22%,6.24%,0.52,-6.91%,324.24%,1.00,989.38
"NIPG","NIP Group Inc. ADR","Communication Services","Entertainment","Sweden",168.54,,0.99%,,0.79,-4.49%,-76.19%,1.00,80.64
"OOMA","Ooma Inc","Technology","Software - Application","USA",327.06,,70.67%,2.73%,4.44,4.87%,-4.67%,1.33,148.19
"INCR","Intercure Ltd","Healthcare","Drug Manufacturers - Specialty & Generic","Israel",79.58,,3.66%,0.03%,0.16,0.34%,-16.19%,1.00,64.84
"SVRA","Savara Inc","Healthcare","Biotechnology","USA",738.07,,48.70%,17.76%,9.67,58.15%,17.31%,1.00,1501.09
"NEXN","Nexxen International Ltd","Communication Services","Advertising Agencies","Israel",536.73,11.39,46.69%,3.28%,3.01,-13.92%,0.96%,1.11,412.15
"MRX","Marex Group Plc","Financial","Capital Markets","United Kingdom",2208.18,11.40,70.73%,5.26%,2.51,-12.21%,16.76%,1.12,1107.20
"VFC","VF Corp","Consumer Cyclical","Apparel Manufacturing","USA",5534.62,62.57,93.82%,8.12%,3.68,17.55%,-36.37%,2.76,8073.07
"CRD-A","Crawford & Co","Financial","Insurance Brokers","USA",524.41,18.28,25.85%,2.02%,5.44,19.19%,-5.31%,1.00,60.88
