"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"NITO","N2OFF Inc","Basic Materials","Agricultural Inputs","Israel",3.95,,1.34%,2.68%,0.08,-52.15%,-52.69%,1.00,202.59
"WHF","WhiteHorse Finance Inc","Financial","Asset Management","USA",160.38,43.13,32.15%,1.32%,2.25,-24.42%,-39.13%,,107.04
"FSK","FS KKR Capital Corp","Financial","Asset Management","USA",4285.02,19.62,31.58%,2.37%,2.90,-28.22%,-21.74%,3.00,2263.96
"NCDL","Nuveen Churchill Direct Lending Corp","Financial","Asset Management","USA",695.87,7.71,28.83%,1.07%,2.67,-15.38%,-18.17%,2.00,172.69
"KBDC","Kayne Anderson BDC Inc","Financial","Asset Management","USA",948.55,8.00,34.56%,0.46%,1.09,-14.18%,-15.58%,2.00,219.92
"EAT","Brinker International, Inc","Consumer Cyclical","Restaurants","USA",5684.19,15.37,108.29%,12.83%,4.20,-30.11%,66.91%,2.30,1339.13
"PFLT","PennantPark Floating Rate Capital Ltd","Financial","Asset Management","USA",880.06,10.50,22.04%,1.45%,1.52,-15.92%,-23.34%,2.00,932.05
"OBDC","Blue Owl Capital Corp","Financial","Asset Management","USA",6505.64,8.47,51.78%,1.69%,2.83,-12.86%,-11.87%,1.46,3031.53
"BIZD","VanEck BDC Income ETF","Financial","Exchange Traded Fund","USA",,,,,1.08,-10.36%,-12.20%,,1457.93
"GSBD","Goldman Sachs BDC Inc","Financial","Asset Management","USA",1155.97,8.10,34.20%,2.36%,3.91,-10.66%,-22.67%,,684.45
"PAR","Par Technology Corp","Technology","Software - Application","USA",1548.98,,113.07%,15.15%,7.52,-45.09%,-26.71%,1.20,801.18
"PCTY","Paylocity Holding Corp","Technology","Software - Application","USA",8550.05,38.59,80.72%,2.93%,2.38,-16.04%,-6.04%,1.74,546.75
"SNDR","Schneider National Inc","Industrials","Trucking","USA",3694.54,29.60,33.77%,10.69%,6.55,-17.85%,-26.14%,2.41,841.95
"VPC","Virtus Private Credit Strategy ETF","Financial","Exchange Traded Fund","USA",,,,,4.84,-7.68%,-14.55%,,19.76
"SCM","Stellus Capital Investment Corp","Financial","Asset Management","USA",372.25,9.10,11.95%,2.54%,3.84,-9.28%,-4.31%,,180.41
